topology_id,node_id,x_m,y_m,depth_m,initial_energy_j,layer
uniform_s100_n20_seed4000,0,45.461138,90.79045,22.341803,0.5,2
uniform_s100_n20_seed4000,1,75.301023,21.061655,28.646412,0.5,2
uniform_s100_n20_seed4000,2,91.10329,6.668155,80.997244,0.5,4
uniform_s100_n20_seed4000,3,44.144683,1.151965,43.382742,0.5,2
uniform_s100_n20_seed4000,4,31.255883,80.263996,22.221152,0.5,2
uniform_s100_n20_seed4000,5,46.048076,5.819513,49.784596,0.5,2
uniform_s100_n20_seed4000,6,46.341809,94.756117,88.801601,0.5,4
uniform_s100_n20_seed4000,7,33.144693,52.629353,91.218153,0.5,4
uniform_s100_n20_seed4000,8,76.991742,84.385534,95.556605,0.5,4
uniform_s100_n20_seed4000,9,44.375354,79.734196,11.813618,0.5,1
uniform_s100_n20_seed4000,10,80.17991,88.149331,63.28389,0.5,3
uniform_s100_n20_seed4000,11,11.407255,44.154406,59.99176,0.5,3
uniform_s100_n20_seed4000,12,43.327192,17.617901,97.017048,0.5,4
uniform_s100_n20_seed4000,13,99.389211,24.304429,63.569,0.5,3
uniform_s100_n20_seed4000,14,99.131382,56.461089,35.934087,0.5,2
uniform_s100_n20_seed4000,15,96.484629,96.325469,93.638915,0.5,4
uniform_s100_n20_seed4000,16,16.640544,13.833525,69.630924,0.5,3
uniform_s100_n20_seed4000,17,42.445658,45.953914,80.946509,0.5,4
uniform_s100_n20_seed4000,18,53.128619,16.471484,24.489536,0.5,2
uniform_s100_n20_seed4000,19,2.12874,17.649543,31.923863,0.5,2
uniform_s100_n20_seed4001,0,6.644675,56.024347,32.527434,0.5,2
uniform_s100_n20_seed4001,1,5.594952,0.220986,58.692504,0.5,3
uniform_s100_n20_seed4001,2,14.922983,9.96184,76.893624,0.5,3
uniform_s100_n20_seed4001,3,45.765141,94.740898,14.867493,0.5,1
uniform_s100_n20_seed4001,4,61.265286,12.999316,84.049907,0.5,4
uniform_s100_n20_seed4001,5,72.237199,34.101059,6.79617,0.5,1
uniform_s100_n20_seed4001,6,69.570067,87.426856,66.271733,0.5,3
uniform_s100_n20_seed4001,7,43.019107,57.219055,87.018095,0.5,4
uniform_s100_n20_seed4001,8,33.452244,83.034814,88.762194,0.5,4
uniform_s100_n20_seed4001,9,22.329776,41.937203,62.488968,0.5,3
uniform_s100_n20_seed4001,10,12.013445,70.305773,14.172872,0.5,1
uniform_s100_n20_seed4001,11,33.459399,82.953139,31.913954,0.5,2
uniform_s100_n20_seed4001,12,85.609701,71.247086,42.169125,0.5,2
uniform_s100_n20_seed4001,13,38.969215,37.298482,66.652953,0.5,3
uniform_s100_n20_seed4001,14,99.645896,24.243956,29.635053,0.5,2
uniform_s100_n20_seed4001,15,46.10528,77.960769,61.080227,0.5,3
uniform_s100_n20_seed4001,16,90.086083,28.556773,17.471125,0.5,1
uniform_s100_n20_seed4001,17,93.146143,85.125573,96.686354,0.5,4
uniform_s100_n20_seed4001,18,29.150125,33.761081,32.082025,0.5,2
uniform_s100_n20_seed4001,19,77.341722,5.731134,92.21503,0.5,4
uniform_s100_n20_seed4002,0,59.151772,77.767107,10.784161,0.5,1
uniform_s100_n20_seed4002,1,24.687459,3.636056,22.815747,0.5,2
uniform_s100_n20_seed4002,2,80.712931,74.115673,63.170338,0.5,3
uniform_s100_n20_seed4002,3,92.311578,53.434041,43.253465,0.5,2
uniform_s100_n20_seed4002,4,82.488716,20.213108,34.564489,0.5,2
uniform_s100_n20_seed4002,5,68.655829,56.385309,37.484398,0.5,2
uniform_s100_n20_seed4002,6,5.17778,4.339013,68.199021,0.5,3
uniform_s100_n20_seed4002,7,1.318354,39.472906,78.864387,0.5,3
uniform_s100_n20_seed4002,8,42.311455,68.721434,21.64165,0.5,2
uniform_s100_n20_seed4002,9,62.639987,80.643084,45.841483,0.5,2
uniform_s100_n20_seed4002,10,54.422529,46.180073,41.882942,0.5,2
uniform_s100_n20_seed4002,11,25.888391,94.274455,58.61432,0.5,3
uniform_s100_n20_seed4002,12,82.521923,90.191124,54.318408,0.5,3
uniform_s100_n20_seed4002,13,35.692894,17.315484,87.929723,0.5,4
uniform_s100_n20_seed4002,14,89.44026,81.511645,10.067414,0.5,1
uniform_s100_n20_seed4002,15,87.616544,86.857997,34.609159,0.5,2
uniform_s100_n20_seed4002,16,99.311502,5.170668,16.090911,0.5,1
uniform_s100_n20_seed4002,17,83.138903,5.743699,99.666321,0.5,4
uniform_s100_n20_seed4002,18,63.935083,43.358403,66.367542,0.5,3
uniform_s100_n20_seed4002,19,1.133316,66.974536,52.049518,0.5,3
uniform_s100_n20_seed4003,0,10.258046,20.164632,14.280383,0.5,1
uniform_s100_n20_seed4003,1,53.170185,55.465616,47.868622,0.5,2
uniform_s100_n20_seed4003,2,93.150924,45.894817,90.335817,0.5,4
uniform_s100_n20_seed4003,3,22.400547,64.839755,54.362521,0.5,3
uniform_s100_n20_seed4003,4,66.21073,5.096902,91.859255,0.5,4
uniform_s100_n20_seed4003,5,39.479722,4.131593,20.743878,0.5,2
uniform_s100_n20_seed4003,6,81.935248,38.620436,45.855209,0.5,2
uniform_s100_n20_seed4003,7,1.680769,24.497437,76.307934,0.5,3
uniform_s100_n20_seed4003,8,23.624608,15.070806,3.608493,0.5,1
uniform_s100_n20_seed4003,9,76.979317,81.24863,97.265639,0.5,4
uniform_s100_n20_seed4003,10,8.63668,32.230406,50.878286,0.5,3
uniform_s100_n20_seed4003,11,41.234228,14.324987,46.022156,0.5,2
uniform_s100_n20_seed4003,12,18.506675,12.911799,98.78788,0.5,4
uniform_s100_n20_seed4003,13,67.478609,89.224756,31.196166,0.5,2
uniform_s100_n20_seed4003,14,27.063719,40.767886,84.027451,0.5,4
uniform_s100_n20_seed4003,15,82.105498,29.768854,0.357681,0.5,1
uniform_s100_n20_seed4003,16,36.539573,80.910209,35.683592,0.5,2
uniform_s100_n20_seed4003,17,22.764856,93.282881,2.822914,0.5,1
uniform_s100_n20_seed4003,18,10.898638,80.292165,96.074692,0.5,4
uniform_s100_n20_seed4003,19,97.620136,6.397347,25.923694,0.5,2
uniform_s100_n20_seed4004,0,80.333443,70.812474,64.521378,0.5,3
uniform_s100_n20_seed4004,1,15.835555,12.417694,47.36538,0.5,2
uniform_s100_n20_seed4004,2,94.940376,91.942683,67.178006,0.5,3
uniform_s100_n20_seed4004,3,99.390494,37.75974,81.636363,0.5,4
uniform_s100_n20_seed4004,4,79.146184,64.904719,4.958302,0.5,1
uniform_s100_n20_seed4004,5,27.185759,49.931245,82.861004,0.5,4
uniform_s100_n20_seed4004,6,64.921441,27.173796,60.418285,0.5,3
uniform_s100_n20_seed4004,7,11.711134,80.475046,45.911593,0.5,2
uniform_s100_n20_seed4004,8,87.046598,43.842298,50.69607,0.5,3
uniform_s100_n20_seed4004,9,91.374516,0.474701,58.045967,0.5,3
uniform_s100_n20_seed4004,10,92.790574,18.446094,4.063336,0.5,1
uniform_s100_n20_seed4004,11,12.0862,23.213308,63.112965,0.5,3
uniform_s100_n20_seed4004,12,34.52532,86.091326,29.433573,0.5,2
uniform_s100_n20_seed4004,13,5.605137,26.503381,48.474634,0.5,2
uniform_s100_n20_seed4004,14,66.187925,47.468361,78.894611,0.5,3
uniform_s100_n20_seed4004,15,51.745901,39.764842,42.823641,0.5,2
uniform_s100_n20_seed4004,16,71.951668,91.668934,27.902302,0.5,2
uniform_s100_n20_seed4004,17,12.95739,18.35152,68.282731,0.5,3
uniform_s100_n20_seed4004,18,68.589561,73.511338,48.535636,0.5,2
uniform_s100_n20_seed4004,19,98.388421,96.617344,49.359855,0.5,2
uniform_s100_n20_seed4005,0,92.767172,30.264643,63.968288,0.5,3
uniform_s100_n20_seed4005,1,73.864344,80.969458,33.026277,0.5,2
uniform_s100_n20_seed4005,2,14.035408,80.717854,90.382938,0.5,4
uniform_s100_n20_seed4005,3,10.242456,33.778374,62.631795,0.5,3
uniform_s100_n20_seed4005,4,22.131587,26.411239,75.407495,0.5,3
uniform_s100_n20_seed4005,5,99.547259,98.358914,28.808577,0.5,2
uniform_s100_n20_seed4005,6,26.885019,95.776982,95.994038,0.5,4
uniform_s100_n20_seed4005,7,87.980716,55.422433,70.863035,0.5,3
uniform_s100_n20_seed4005,8,93.194517,89.743473,12.508943,0.5,1
uniform_s100_n20_seed4005,9,29.656425,1.121342,14.023213,0.5,1
uniform_s100_n20_seed4005,10,32.505998,35.371301,33.907395,0.5,2
uniform_s100_n20_seed4005,11,23.982139,5.575183,32.707055,0.5,2
uniform_s100_n20_seed4005,12,92.964294,68.79352,47.761104,0.5,2
uniform_s100_n20_seed4005,13,58.868619,57.637903,19.419167,0.5,1
uniform_s100_n20_seed4005,14,32.706105,95.036893,28.330054,0.5,2
