topology_id,distribution,space_m,node_count,seed,width_m,height_m,depth_m,sink_x_m,sink_y_m,sink_depth_m,gaussian_std_fraction,exponential_scale_fraction
uniform_s100_n20_seed4000,uniform,100,20,4000,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n20_seed4001,uniform,100,20,4001,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n20_seed4002,uniform,100,20,4002,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n20_seed4003,uniform,100,20,4003,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n20_seed4004,uniform,100,20,4004,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n20_seed4005,uniform,100,20,4005,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n20_seed4006,uniform,100,20,4006,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n20_seed4007,uniform,100,20,4007,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n20_seed4008,uniform,100,20,4008,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n20_seed4009,uniform,100,20,4009,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n20_seed4010,uniform,100,20,4010,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n20_seed4011,uniform,100,20,4011,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n20_seed4012,uniform,100,20,4012,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n20_seed4013,uniform,100,20,4013,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n20_seed4014,uniform,100,20,4014,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n50_seed4000,uniform,100,50,4000,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n50_seed4001,uniform,100,50,4001,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n50_seed4002,uniform,100,50,4002,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n50_seed4003,uniform,100,50,4003,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n50_seed4004,uniform,100,50,4004,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n50_seed4005,uniform,100,50,4005,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n50_seed4006,uniform,100,50,4006,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n50_seed4007,uniform,100,50,4007,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n50_seed4008,uniform,100,50,4008,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n50_seed4009,uniform,100,50,4009,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n50_seed4010,uniform,100,50,4010,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n50_seed4011,uniform,100,50,4011,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n50_seed4012,uniform,100,50,4012,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n50_seed4013,uniform,100,50,4013,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n50_seed4014,uniform,100,50,4014,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n100_seed4000,uniform,100,100,4000,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n100_seed4001,uniform,100,100,4001,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n100_seed4002,uniform,100,100,4002,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n100_seed4003,uniform,100,100,4003,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n100_seed4004,uniform,100,100,4004,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n100_seed4005,uniform,100,100,4005,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n100_seed4006,uniform,100,100,4006,100,100,100,50.0,50.0,0.0,0.18,0.35
uniform_s100_n100_seed4007,uniform,100,100,4007,100,100,100,50.0,50.0,0.0,0.18,0.35
