input_id,distribution,optimizer,space_m,node_count,seed,cluster_head_ratio,purpose
exponential_s100_n100_seed4000_de_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,exponential,de,100,100,4000,0.2,representative_detail_no_routing
exponential_s100_n100_seed4000_ga_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,exponential,ga,100,100,4000,0.2,representative_detail_no_routing
exponential_s100_n100_seed4000_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,exponential,leach,100,100,4000,0.2,representative_detail_no_routing
exponential_s100_n100_seed4000_pso_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,exponential,pso,100,100,4000,0.2,representative_detail_no_routing
gaussian_s100_n100_seed4000_de_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian,de,100,100,4000,0.2,representative_detail_no_routing
gaussian_s100_n100_seed4000_ga_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian,ga,100,100,4000,0.2,representative_detail_no_routing
gaussian_s100_n100_seed4000_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian,leach,100,100,4000,0.2,representative_detail_no_routing
gaussian_s100_n100_seed4000_pso_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian,pso,100,100,4000,0.2,representative_detail_no_routing
uniform_s100_n100_seed4000_de_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform,de,100,100,4000,0.2,representative_detail_no_routing
uniform_s100_n100_seed4000_ga_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform,ga,100,100,4000,0.2,representative_detail_no_routing
uniform_s100_n100_seed4000_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform,leach,100,100,4000,0.2,representative_detail_no_routing
uniform_s100_n100_seed4000_pso_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform,pso,100,100,4000,0.2,representative_detail_no_routing
exponential_s500_n300_seed4000_de_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,exponential,de,500,300,4000,0.2,representative_detail_no_routing
exponential_s500_n300_seed4000_ga_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,exponential,ga,500,300,4000,0.2,representative_detail_no_routing
exponential_s500_n300_seed4000_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,exponential,leach,500,300,4000,0.2,representative_detail_no_routing
exponential_s500_n300_seed4000_pso_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,exponential,pso,500,300,4000,0.2,representative_detail_no_routing
gaussian_s500_n300_seed4000_de_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian,de,500,300,4000,0.2,representative_detail_no_routing
gaussian_s500_n300_seed4000_ga_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian,ga,500,300,4000,0.2,representative_detail_no_routing
gaussian_s500_n300_seed4000_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian,leach,500,300,4000,0.2,representative_detail_no_routing
gaussian_s500_n300_seed4000_pso_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian,pso,500,300,4000,0.2,representative_detail_no_routing
uniform_s500_n300_seed4000_de_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,uniform,de,500,300,4000,0.2,representative_detail_no_routing
