scenario_id,space_x_m,space_y_m,space_z_m,node_count,topology,packet_size_bits,initial_energy_j,transmission_range_m,max_rounds,mobility_enabled,noise_enabled,delay_enabled
s100_n50_uniform_p6400_e1p0,100,100,100,50,uniform,6400,1.0,150.0,1000,False,False,False
s100_n50_uniform_p6400_e0p5,100,100,100,50,uniform,6400,0.5,150.0,1000,False,False,False
s100_n50_uniform_p4000_e1p0,100,100,100,50,uniform,4000,1.0,150.0,1000,False,False,False
s100_n50_uniform_p4000_e0p5,100,100,100,50,uniform,4000,0.5,150.0,1000,False,False,False
s100_n50_gaussian_p6400_e1p0,100,100,100,50,gaussian,6400,1.0,150.0,1000,False,False,False
s100_n50_gaussian_p6400_e0p5,100,100,100,50,gaussian,6400,0.5,150.0,1000,False,False,False
s100_n50_gaussian_p4000_e1p0,100,100,100,50,gaussian,4000,1.0,150.0,1000,False,False,False
s100_n50_gaussian_p4000_e0p5,100,100,100,50,gaussian,4000,0.5,150.0,1000,False,False,False
s100_n50_exponential_p6400_e1p0,100,100,100,50,exponential,6400,1.0,150.0,1000,False,False,False
s100_n50_exponential_p6400_e0p5,100,100,100,50,exponential,6400,0.5,150.0,1000,False,False,False
s100_n50_exponential_p4000_e1p0,100,100,100,50,exponential,4000,1.0,150.0,1000,False,False,False
s100_n50_exponential_p4000_e0p5,100,100,100,50,exponential,4000,0.5,150.0,1000,False,False,False
s100_n100_uniform_p6400_e1p0,100,100,100,100,uniform,6400,1.0,150.0,1000,False,False,False
s100_n100_uniform_p6400_e0p5,100,100,100,100,uniform,6400,0.5,150.0,1000,False,False,False
s100_n100_uniform_p4000_e1p0,100,100,100,100,uniform,4000,1.0,150.0,1000,False,False,False
s100_n100_uniform_p4000_e0p5,100,100,100,100,uniform,4000,0.5,150.0,1000,False,False,False
s100_n100_gaussian_p6400_e1p0,100,100,100,100,gaussian,6400,1.0,150.0,1000,False,False,False
s100_n100_gaussian_p6400_e0p5,100,100,100,100,gaussian,6400,0.5,150.0,1000,False,False,False
s100_n100_gaussian_p4000_e1p0,100,100,100,100,gaussian,4000,1.0,150.0,1000,False,False,False
s100_n100_gaussian_p4000_e0p5,100,100,100,100,gaussian,4000,0.5,150.0,1000,False,False,False
s100_n100_exponential_p6400_e1p0,100,100,100,100,exponential,6400,1.0,150.0,1000,False,False,False
s100_n100_exponential_p6400_e0p5,100,100,100,100,exponential,6400,0.5,150.0,1000,False,False,False
s100_n100_exponential_p4000_e1p0,100,100,100,100,exponential,4000,1.0,150.0,1000,False,False,False
s100_n100_exponential_p4000_e0p5,100,100,100,100,exponential,4000,0.5,150.0,1000,False,False,False
s100_n150_uniform_p6400_e1p0,100,100,100,150,uniform,6400,1.0,150.0,1000,False,False,False
s100_n150_uniform_p6400_e0p5,100,100,100,150,uniform,6400,0.5,150.0,1000,False,False,False
s100_n150_uniform_p4000_e1p0,100,100,100,150,uniform,4000,1.0,150.0,1000,False,False,False
s100_n150_uniform_p4000_e0p5,100,100,100,150,uniform,4000,0.5,150.0,1000,False,False,False
s100_n150_gaussian_p6400_e1p0,100,100,100,150,gaussian,6400,1.0,150.0,1000,False,False,False
s100_n150_gaussian_p6400_e0p5,100,100,100,150,gaussian,6400,0.5,150.0,1000,False,False,False
s100_n150_gaussian_p4000_e1p0,100,100,100,150,gaussian,4000,1.0,150.0,1000,False,False,False
s100_n150_gaussian_p4000_e0p5,100,100,100,150,gaussian,4000,0.5,150.0,1000,False,False,False
s100_n150_exponential_p6400_e1p0,100,100,100,150,exponential,6400,1.0,150.0,1000,False,False,False
s100_n150_exponential_p6400_e0p5,100,100,100,150,exponential,6400,0.5,150.0,1000,False,False,False
s100_n150_exponential_p4000_e1p0,100,100,100,150,exponential,4000,1.0,150.0,1000,False,False,False
s100_n150_exponential_p4000_e0p5,100,100,100,150,exponential,4000,0.5,150.0,1000,False,False,False
s500_n100_uniform_p6400_e1p0,500,500,500,100,uniform,6400,1.0,150.0,1000,False,False,False
s500_n100_uniform_p6400_e0p5,500,500,500,100,uniform,6400,0.5,150.0,1000,False,False,False
s500_n100_uniform_p4000_e1p0,500,500,500,100,uniform,4000,1.0,150.0,1000,False,False,False
s500_n100_uniform_p4000_e0p5,500,500,500,100,uniform,4000,0.5,150.0,1000,False,False,False
s500_n100_gaussian_p6400_e1p0,500,500,500,100,gaussian,6400,1.0,150.0,1000,False,False,False
s500_n100_gaussian_p6400_e0p5,500,500,500,100,gaussian,6400,0.5,150.0,1000,False,False,False
s500_n100_gaussian_p4000_e1p0,500,500,500,100,gaussian,4000,1.0,150.0,1000,False,False,False
s500_n100_gaussian_p4000_e0p5,500,500,500,100,gaussian,4000,0.5,150.0,1000,False,False,False
s500_n100_exponential_p6400_e1p0,500,500,500,100,exponential,6400,1.0,150.0,1000,False,False,False
s500_n100_exponential_p6400_e0p5,500,500,500,100,exponential,6400,0.5,150.0,1000,False,False,False
s500_n100_exponential_p4000_e1p0,500,500,500,100,exponential,4000,1.0,150.0,1000,False,False,False
s500_n100_exponential_p4000_e0p5,500,500,500,100,exponential,4000,0.5,150.0,1000,False,False,False
s500_n200_uniform_p6400_e1p0,500,500,500,200,uniform,6400,1.0,150.0,1000,False,False,False
s500_n200_uniform_p6400_e0p5,500,500,500,200,uniform,6400,0.5,150.0,1000,False,False,False
s500_n200_uniform_p4000_e1p0,500,500,500,200,uniform,4000,1.0,150.0,1000,False,False,False
s500_n200_uniform_p4000_e0p5,500,500,500,200,uniform,4000,0.5,150.0,1000,False,False,False
s500_n200_gaussian_p6400_e1p0,500,500,500,200,gaussian,6400,1.0,150.0,1000,False,False,False
s500_n200_gaussian_p6400_e0p5,500,500,500,200,gaussian,6400,0.5,150.0,1000,False,False,False
s500_n200_gaussian_p4000_e1p0,500,500,500,200,gaussian,4000,1.0,150.0,1000,False,False,False
s500_n200_gaussian_p4000_e0p5,500,500,500,200,gaussian,4000,0.5,150.0,1000,False,False,False
s500_n200_exponential_p6400_e1p0,500,500,500,200,exponential,6400,1.0,150.0,1000,False,False,False
s500_n200_exponential_p6400_e0p5,500,500,500,200,exponential,6400,0.5,150.0,1000,False,False,False
s500_n200_exponential_p4000_e1p0,500,500,500,200,exponential,4000,1.0,150.0,1000,False,False,False
s500_n200_exponential_p4000_e0p5,500,500,500,200,exponential,4000,0.5,150.0,1000,False,False,False
s500_n300_uniform_p6400_e1p0,500,500,500,300,uniform,6400,1.0,150.0,1000,False,False,False
s500_n300_uniform_p6400_e0p5,500,500,500,300,uniform,6400,0.5,150.0,1000,False,False,False
s500_n300_uniform_p4000_e1p0,500,500,500,300,uniform,4000,1.0,150.0,1000,False,False,False
s500_n300_uniform_p4000_e0p5,500,500,500,300,uniform,4000,0.5,150.0,1000,False,False,False
s500_n300_gaussian_p6400_e1p0,500,500,500,300,gaussian,6400,1.0,150.0,1000,False,False,False
s500_n300_gaussian_p6400_e0p5,500,500,500,300,gaussian,6400,0.5,150.0,1000,False,False,False
s500_n300_gaussian_p4000_e1p0,500,500,500,300,gaussian,4000,1.0,150.0,1000,False,False,False
s500_n300_gaussian_p4000_e0p5,500,500,500,300,gaussian,4000,0.5,150.0,1000,False,False,False
s500_n300_exponential_p6400_e1p0,500,500,500,300,exponential,6400,1.0,150.0,1000,False,False,False
s500_n300_exponential_p6400_e0p5,500,500,500,300,exponential,6400,0.5,150.0,1000,False,False,False
s500_n300_exponential_p4000_e1p0,500,500,500,300,exponential,4000,1.0,150.0,1000,False,False,False
s500_n300_exponential_p4000_e0p5,500,500,500,300,exponential,4000,0.5,150.0,1000,False,False,False
s1000_n500_uniform_p6400_e1p0,1000,1000,1000,500,uniform,6400,1.0,150.0,1000,False,False,False
s1000_n500_uniform_p6400_e0p5,1000,1000,1000,500,uniform,6400,0.5,150.0,1000,False,False,False
s1000_n500_uniform_p4000_e1p0,1000,1000,1000,500,uniform,4000,1.0,150.0,1000,False,False,False
s1000_n500_uniform_p4000_e0p5,1000,1000,1000,500,uniform,4000,0.5,150.0,1000,False,False,False
s1000_n500_gaussian_p6400_e1p0,1000,1000,1000,500,gaussian,6400,1.0,150.0,1000,False,False,False
s1000_n500_gaussian_p6400_e0p5,1000,1000,1000,500,gaussian,6400,0.5,150.0,1000,False,False,False
s1000_n500_gaussian_p4000_e1p0,1000,1000,1000,500,gaussian,4000,1.0,150.0,1000,False,False,False
s1000_n500_gaussian_p4000_e0p5,1000,1000,1000,500,gaussian,4000,0.5,150.0,1000,False,False,False
s1000_n500_exponential_p6400_e1p0,1000,1000,1000,500,exponential,6400,1.0,150.0,1000,False,False,False
s1000_n500_exponential_p6400_e0p5,1000,1000,1000,500,exponential,6400,0.5,150.0,1000,False,False,False
s1000_n500_exponential_p4000_e1p0,1000,1000,1000,500,exponential,4000,1.0,150.0,1000,False,False,False
s1000_n500_exponential_p4000_e0p5,1000,1000,1000,500,exponential,4000,0.5,150.0,1000,False,False,False
s1000_n1000_uniform_p6400_e1p0,1000,1000,1000,1000,uniform,6400,1.0,150.0,1000,False,False,False
s1000_n1000_uniform_p6400_e0p5,1000,1000,1000,1000,uniform,6400,0.5,150.0,1000,False,False,False
s1000_n1000_uniform_p4000_e1p0,1000,1000,1000,1000,uniform,4000,1.0,150.0,1000,False,False,False
s1000_n1000_uniform_p4000_e0p5,1000,1000,1000,1000,uniform,4000,0.5,150.0,1000,False,False,False
s1000_n1000_gaussian_p6400_e1p0,1000,1000,1000,1000,gaussian,6400,1.0,150.0,1000,False,False,False
s1000_n1000_gaussian_p6400_e0p5,1000,1000,1000,1000,gaussian,6400,0.5,150.0,1000,False,False,False
s1000_n1000_gaussian_p4000_e1p0,1000,1000,1000,1000,gaussian,4000,1.0,150.0,1000,False,False,False
s1000_n1000_gaussian_p4000_e0p5,1000,1000,1000,1000,gaussian,4000,0.5,150.0,1000,False,False,False
s1000_n1000_exponential_p6400_e1p0,1000,1000,1000,1000,exponential,6400,1.0,150.0,1000,False,False,False
s1000_n1000_exponential_p6400_e0p5,1000,1000,1000,1000,exponential,6400,0.5,150.0,1000,False,False,False
s1000_n1000_exponential_p4000_e1p0,1000,1000,1000,1000,exponential,4000,1.0,150.0,1000,False,False,False
s1000_n1000_exponential_p4000_e0p5,1000,1000,1000,1000,exponential,4000,0.5,150.0,1000,False,False,False
s1000_n1500_uniform_p6400_e1p0,1000,1000,1000,1500,uniform,6400,1.0,150.0,1000,False,False,False
s1000_n1500_uniform_p6400_e0p5,1000,1000,1000,1500,uniform,6400,0.5,150.0,1000,False,False,False
s1000_n1500_uniform_p4000_e1p0,1000,1000,1000,1500,uniform,4000,1.0,150.0,1000,False,False,False
s1000_n1500_uniform_p4000_e0p5,1000,1000,1000,1500,uniform,4000,0.5,150.0,1000,False,False,False
s1000_n1500_gaussian_p6400_e1p0,1000,1000,1000,1500,gaussian,6400,1.0,150.0,1000,False,False,False
s1000_n1500_gaussian_p6400_e0p5,1000,1000,1000,1500,gaussian,6400,0.5,150.0,1000,False,False,False
s1000_n1500_gaussian_p4000_e1p0,1000,1000,1000,1500,gaussian,4000,1.0,150.0,1000,False,False,False
s1000_n1500_gaussian_p4000_e0p5,1000,1000,1000,1500,gaussian,4000,0.5,150.0,1000,False,False,False
s1000_n1500_exponential_p6400_e1p0,1000,1000,1000,1500,exponential,6400,1.0,150.0,1000,False,False,False
s1000_n1500_exponential_p6400_e0p5,1000,1000,1000,1500,exponential,6400,0.5,150.0,1000,False,False,False
s1000_n1500_exponential_p4000_e1p0,1000,1000,1000,1500,exponential,4000,1.0,150.0,1000,False,False,False
s1000_n1500_exponential_p4000_e0p5,1000,1000,1000,1500,exponential,4000,0.5,150.0,1000,False,False,False
