suite,label,space_m,node_count,packet_size_bits,initial_energy_j,pso_c1,pso_c2,pso_omega,transmission_range_m,cluster_head_ratio,eulc_candidate_ratio,alpha_weight,beta_weight,gamma_weight,pso_particles,pso_iterations,runs,seed_start,seed_end,max_rounds,fnd_mean,fnd_std,fnd_min,fnd_max,fnd_cv_pct,residual_energy_pct_at_fnd,dead_nodes_pct_at_fnd,packets_received_mean,elapsed_sec
omega_by_node_v2,omega=0.35,100,100,6400,0.5,1.5,1.5,0.35,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,926.4,54.3713,820,996,5.8691,36.67,1.0,18527,4.76
omega_by_node_v2,omega=0.5,100,100,6400,0.5,1.5,1.5,0.5,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,914.3,48.023,840,1015,5.2524,37.44,1.0,18284.8,4.28
omega_by_node_v2,omega=0.65,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,943.4,40.4257,880,1019,4.2851,35.4,1.0,18867,4.62
omega_by_node_v2,omega=0.8,100,100,6400,0.5,1.5,1.5,0.8,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,938.1,39.1343,877,999,4.1717,35.69,1.0,18761,4.44
candidate_by_node_v2,candidate=0.2,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,0.6,0.25,0.15,4,3,10,132,141,6000,926.8,26.3089,878,978,2.8387,36.52,1.1,15870.9,2.91
candidate_by_node_v2,candidate=0.3,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.3,0.6,0.25,0.15,4,3,10,132,141,6000,942.7,59.2976,835,1039,6.2902,35.49,1.0,18837,4.38
candidate_by_node_v2,candidate=0.4,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,943.4,40.4257,880,1019,4.2851,35.4,1.0,18867,4.48
candidate_by_node_v2,candidate=0.5,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.5,0.6,0.25,0.15,4,3,10,132,141,6000,942.8,72.0081,800,1019,7.6377,35.55,1.0,18854.6,5.1
ch_ratio_by_node_v2,Pc=0.1,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.1,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,693.7,96.594,473,835,13.9245,51.78,1.0,6936,2.23
ch_ratio_by_node_v2,Pc=0.15,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.15,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,871.1,60.8267,778,957,6.9827,39.93,1.1,13065.4,3.71
ch_ratio_by_node_v2,Pc=0.2,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,943.4,40.4257,880,1019,4.2851,35.4,1.0,18867,5.19
ch_ratio_by_node_v2,Pc=0.25,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.25,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,978.2,55.4884,840,1037,5.6725,33.65,1.0,24454,6.65
ch_ratio_by_node_v2,Pc=0.3,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.3,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,1009.1,50.2124,952,1097,4.976,32.34,1.0,30185.8,7.13
weight_by_node_v2,default,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,943.4,40.4257,880,1019,4.2851,35.4,1.0,18867,5.11
weight_by_node_v2,energy-focused,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.75,0.15,0.1,4,3,10,132,141,6000,937.6,45.0648,840,996,4.8064,35.78,1.0,18750.5,4.54
weight_by_node_v2,distance-focused,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.45,0.45,0.1,4,3,10,132,141,6000,918.1,62.2342,739,977,6.7786,37.16,1.0,18361,4.67
weight_by_node_v2,degree-focused,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.45,0.15,0.4,4,3,10,132,141,6000,940,64.9523,780,1018,6.9098,35.6,1.0,18799,4.87
weight_by_node_v2,balanced,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.34,0.33,0.33,4,3,10,132,141,6000,939.8,55.0759,839,1020,5.8604,35.67,1.0,18795,4.96
omega_by_node_v2,omega=0.35,100,200,6400,0.5,1.5,1.5,0.35,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,954.1,65.2295,779,1018,6.8368,35.1,0.55,38154.9,10.99
omega_by_node_v2,omega=0.5,100,200,6400,0.5,1.5,1.5,0.5,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,941.6,44.5673,855,999,4.7331,35.88,0.5,37655,10.84
omega_by_node_v2,omega=0.65,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,914.9,78.4327,699,1019,8.5728,37.69,0.5,36587,10.19
omega_by_node_v2,omega=0.8,100,200,6400,0.5,1.5,1.5,0.8,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,935.4,42.3254,858,978,4.5248,36.23,0.5,37407,10.13
candidate_by_node_v2,candidate=0.2,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,0.6,0.25,0.15,4,3,10,132,141,6000,887.1,65.9643,740,959,7.4359,39.4,0.5,28914.8,5.11
candidate_by_node_v2,candidate=0.3,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.3,0.6,0.25,0.15,4,3,10,132,141,6000,942.1,45.8878,860,1000,4.8708,35.86,0.5,37466.9,10.54
candidate_by_node_v2,candidate=0.4,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,914.9,78.4327,699,1019,8.5728,37.69,0.5,36587,9.75
candidate_by_node_v2,candidate=0.5,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.5,0.6,0.25,0.15,4,3,10,132,141,6000,951.7,56.3508,836,1038,5.9211,35.19,0.5,38067,10.2
ch_ratio_by_node_v2,Pc=0.1,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.1,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,641.6,95.5952,438,774,14.8995,55.42,0.5,12831.1,4.51
ch_ratio_by_node_v2,Pc=0.15,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.15,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,866.4,53.5074,778,957,6.1758,40.33,0.5,25991,7.27
ch_ratio_by_node_v2,Pc=0.2,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,914.9,78.4327,699,1019,8.5728,37.69,0.5,36587,10.5
ch_ratio_by_node_v2,Pc=0.25,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.25,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,983.9,42.1627,919,1039,4.2853,33.73,0.5,49046.1,11.37
ch_ratio_by_node_v2,Pc=0.3,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.3,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,976.4,71.6801,780,1057,7.3413,35.04,0.55,56132.8,9.14
weight_by_node_v2,default,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,914.9,78.4327,699,1019,8.5728,37.69,0.5,36587,8.9
weight_by_node_v2,energy-focused,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.75,0.15,0.1,4,3,10,132,141,6000,960.5,43.8024,897,1018,4.5604,34.63,0.5,38411,9.28
weight_by_node_v2,distance-focused,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.45,0.45,0.1,4,3,10,132,141,6000,926.1,39.8759,840,977,4.3058,36.86,0.5,37034.9,8.79
weight_by_node_v2,degree-focused,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.45,0.15,0.4,4,3,10,132,141,6000,948.1,56.7775,840,1017,5.9886,35.35,0.5,37915,9.09
weight_by_node_v2,balanced,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.34,0.33,0.33,4,3,10,132,141,6000,941.5,58.9903,799,1014,6.2656,35.84,0.5,37650.9,9.18
omega_by_node_v2,omega=0.35,100,300,6400,0.5,1.5,1.5,0.35,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,950.7,56.1517,840,1039,5.9064,35.68,0.4,56952.7,13.77
omega_by_node_v2,omega=0.5,100,300,6400,0.5,1.5,1.5,0.5,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,950.8,26.3089,900,997,2.767,35.66,0.33,56959,14.97
omega_by_node_v2,omega=0.65,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,966.2,35.3802,914,1019,3.6618,34.55,0.33,57883,13.78
omega_by_node_v2,omega=0.8,100,300,6400,0.5,1.5,1.5,0.8,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,978.3,39.0565,880,1019,3.9923,33.75,0.37,58608.9,13.8
candidate_by_node_v2,candidate=0.2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,0.6,0.25,0.15,4,3,10,132,141,6000,915.2,46.615,839,993,5.0934,37.58,0.33,42740.6,6.74
candidate_by_node_v2,candidate=0.3,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.3,0.6,0.25,0.15,4,3,10,132,141,6000,960.5,70.3935,838,1040,7.3288,35.01,0.37,56926.8,12.14
candidate_by_node_v2,candidate=0.4,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,966.2,35.3802,914,1019,3.6618,34.55,0.33,57883,13.63
candidate_by_node_v2,candidate=0.5,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.5,0.6,0.25,0.15,4,3,10,132,141,6000,993,45.7799,897,1054,4.6103,32.87,0.37,59578.8,14.12
ch_ratio_by_node_v2,Pc=0.1,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.1,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,751.8,60.1062,639,839,7.995,47.9,0.33,22553,6.34
ch_ratio_by_node_v2,Pc=0.15,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.15,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,898.9,38.8856,839,958,4.3259,38.4,0.33,40449.5,10.07
ch_ratio_by_node_v2,Pc=0.2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,966.2,35.3802,914,1019,3.6618,34.55,0.33,57883,13.47
ch_ratio_by_node_v2,Pc=0.25,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.25,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,994.9,36.2862,939,1059,3.6472,33.55,0.4,73874.3,15.56
ch_ratio_by_node_v2,Pc=0.3,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.3,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,1012.3,35.1199,959,1059,3.4693,32.86,0.33,80493,12.03
weight_by_node_v2,default,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,966.2,35.3802,914,1019,3.6618,34.55,0.33,57883,13.7
weight_by_node_v2,energy-focused,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.75,0.15,0.1,4,3,10,132,141,6000,964.3,35.5782,918,1036,3.6895,34.73,0.33,57762.9,13.61
weight_by_node_v2,distance-focused,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.45,0.45,0.1,4,3,10,132,141,6000,937.3,53.8016,860,1056,5.7401,36.52,0.37,56153,12.99
weight_by_node_v2,degree-focused,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.45,0.15,0.4,4,3,10,132,141,6000,947.6,54.6264,857,1035,5.7647,35.79,0.33,56763,13.69
weight_by_node_v2,balanced,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.34,0.33,0.33,4,3,10,132,141,6000,944.3,54.9219,840,1034,5.8161,36.02,0.37,56572.9,13.01
omega_by_node_v2,omega=0.35,100,500,6400,0.5,1.5,1.5,0.35,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,940.4,42.0076,876,1000,4.467,36.58,0.2,92855,21.56
omega_by_node_v2,omega=0.5,100,500,6400,0.5,1.5,1.5,0.5,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,941,46.7889,858,980,4.9723,36.53,0.2,92947.1,23.82
omega_by_node_v2,omega=0.65,100,500,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,947.2,43.1921,860,1000,4.56,36.09,0.2,93547.8,24.85
omega_by_node_v2,omega=0.8,100,500,6400,0.5,1.5,1.5,0.8,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,944.4,40.1303,860,1016,4.2493,36.26,0.2,93280.9,24.18
candidate_by_node_v2,candidate=0.2,100,500,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,0.6,0.25,0.15,4,3,10,132,141,6000,896.9,45.0254,835,958,5.0201,38.57,0.22,60049.2,10.94
candidate_by_node_v2,candidate=0.3,100,500,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.3,0.6,0.25,0.15,4,3,10,132,141,6000,913.8,45.1349,837,979,4.9393,38.13,0.2,81788.2,14.81
candidate_by_node_v2,candidate=0.4,100,500,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.6,0.25,0.15,4,3,10,132,141,6000,947.2,43.1921,860,1000,4.56,36.09,0.2,93547.8,22.86
candidate_by_node_v2,candidate=0.5,100,500,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.5,0.6,0.25,0.15,4,3,10,132,141,6000,920.5,72.4614,758,999,7.872,37.88,0.2,91873,24.29
