suite,label,space_m,node_count,packet_size_bits,initial_energy_j,pso_c1,pso_c2,pso_omega,transmission_range_m,cluster_head_ratio,eulc_candidate_ratio,alpha_weight,beta_weight,gamma_weight,pso_particles,pso_iterations,runs,seed_start,seed_end,max_rounds,fnd_mean,fnd_std,fnd_min,fnd_max,fnd_cv_pct,residual_energy_pct_at_fnd,dead_nodes_pct_at_fnd,packets_received_mean,elapsed_sec
omega_by_node_v2,omega=0.35,500,1000,6400,0.5,1.5,1.5,0.35,150.0,0.2,0.4,0.6,0.25,0.15,4,3,5,172,176,6000,786,55.02,680,838,7.0,44.4,0.1,157227,32.27
omega_by_node_v2,omega=0.5,500,1000,6400,0.5,1.5,1.5,0.5,150.0,0.2,0.4,0.6,0.25,0.15,4,3,5,172,176,6000,832.6,43.2509,797,914,5.1947,41.08,0.1,166543,28.7
omega_by_node_v2,omega=0.65,500,1000,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.6,0.25,0.15,4,3,5,172,176,6000,820.2,33.5762,756,851,4.0937,41.95,0.12,164062.6,28.99
omega_by_node_v2,omega=0.8,500,1000,6400,0.5,1.5,1.5,0.8,150.0,0.2,0.4,0.6,0.25,0.15,4,3,5,172,176,6000,792.8,44.5753,737,854,5.6225,43.89,0.1,158583,29.05
candidate_by_node_v2,candidate=0.2,500,1000,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,0.6,0.25,0.15,4,3,5,172,176,6000,786.6,52.0945,699,855,6.6227,44.36,0.1,150978.6,16.43
candidate_by_node_v2,candidate=0.3,500,1000,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.3,0.6,0.25,0.15,4,3,5,172,176,6000,809.4,72.2429,680,896,8.9255,42.72,0.1,161907,27.15
candidate_by_node_v2,candidate=0.4,500,1000,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.6,0.25,0.15,4,3,5,172,176,6000,820.2,33.5762,756,851,4.0937,41.95,0.12,164062.6,26.86
candidate_by_node_v2,candidate=0.5,500,1000,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.5,0.6,0.25,0.15,4,3,5,172,176,6000,793.8,62.863,699,896,7.9193,43.82,0.1,158759,27.14
ch_ratio_by_node_v2,Pc=0.1,500,1000,6400,0.5,1.5,1.5,0.65,150.0,0.1,0.4,0.6,0.25,0.15,4,3,5,172,176,6000,650.4,52.9173,558,717,8.1361,54.0,0.1,65343,11.46
ch_ratio_by_node_v2,Pc=0.15,500,1000,6400,0.5,1.5,1.5,0.65,150.0,0.15,0.4,0.6,0.25,0.15,4,3,5,172,176,6000,754.8,49.0812,698,816,6.5025,46.6,0.12,113310.8,19.27
ch_ratio_by_node_v2,Pc=0.2,500,1000,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.6,0.25,0.15,4,3,5,172,176,6000,820.2,33.5762,756,851,4.0937,41.95,0.12,164062.6,26.51
ch_ratio_by_node_v2,Pc=0.25,500,1000,6400,0.5,1.5,1.5,0.65,150.0,0.25,0.4,0.6,0.25,0.15,4,3,5,172,176,6000,828.8,32.2329,773,860,3.8891,41.33,0.1,207223,31.68
ch_ratio_by_node_v2,Pc=0.3,500,1000,6400,0.5,1.5,1.5,0.65,150.0,0.3,0.4,0.6,0.25,0.15,4,3,5,172,176,6000,822.6,70.7491,700,916,8.6007,41.74,0.1,246783,39.88
weight_by_node_v2,default,500,1000,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.6,0.25,0.15,4,3,5,172,176,6000,820.2,33.5762,756,851,4.0937,41.95,0.12,164062.6,26.87
weight_by_node_v2,energy-focused,500,1000,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.75,0.15,0.1,4,3,5,172,176,6000,768.4,31.6139,720,818,4.1143,45.63,0.1,153683.2,25.01
weight_by_node_v2,distance-focused,500,1000,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.45,0.45,0.1,4,3,5,172,176,6000,787.6,53.0532,719,859,6.7361,44.27,0.1,157567,26.24
weight_by_node_v2,degree-focused,500,1000,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.45,0.15,0.4,4,3,5,172,176,6000,787.4,52.0984,699,840,6.6165,44.29,0.1,157511,25.18
weight_by_node_v2,balanced,500,1000,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.34,0.33,0.33,4,3,5,172,176,6000,798.8,33.594,758,838,4.2056,43.47,0.1,159774.8,25.98
omega_by_node_v2,omega=0.35,500,1500,6400,0.5,1.5,1.5,0.35,150.0,0.2,0.4,0.6,0.25,0.15,4,3,5,172,176,6000,678.4,61.1379,596,759,9.0121,52.0,0.07,203555,38.59
omega_by_node_v2,omega=0.5,500,1500,6400,0.5,1.5,1.5,0.5,150.0,0.2,0.4,0.6,0.25,0.15,4,3,5,172,176,6000,663.2,96.1195,560,820,14.4933,53.08,0.07,198995,39.97
omega_by_node_v2,omega=0.65,500,1500,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,0.6,0.25,0.15,4,3,5,172,176,6000,785.4,67.6154,655,839,8.609,44.42,0.07,235655,44.02
omega_by_node_v2,omega=0.8,500,1500,6400,0.5,1.5,1.5,0.8,150.0,0.2,0.4,0.6,0.25,0.15,4,3,5,172,176,6000,717.8,103.9431,558,839,14.4808,49.2,0.07,215375,41.48
