optimizer,space_m,node_count,runs,population_size,iterations,candidate_count_mean,cluster_head_count_mean,optimizer_runtime_mean_sec,optimizer_runtime_std_sec
de,100,20,30,4,10,6.7,4.0,0.01488704,0.004023
de,100,50,30,4,10,16.6333,10.0,0.03998821,0.0156444
de,100,100,30,4,10,32.4667,20.0,0.07654798,0.02278505
de,100,150,30,4,10,44.8333,30.0,0.09925432,0.02473858
de,500,100,30,4,10,37.6667,24.8667,0.03671692,0.01171088
de,500,200,30,4,10,73.5667,42.2,0.04420152,0.0082837
de,500,300,30,4,10,112.8,61.1,0.09212294,0.03450588
de,1000,500,30,4,10,211.5,149.3333,0.18793251,0.04076127
de,1000,1000,30,4,10,393.8667,229.3667,0.49582641,0.07230754
de,1000,1500,30,4,10,587.6667,315.3,0.8923687,0.10173048
de,1000,2000,30,4,10,783.8333,407.1,2.49209611,0.99335239
ga,100,20,30,4,10,6.7,4.0,0.0118125,0.00274512
ga,100,50,30,4,10,16.6333,10.0,0.02118492,0.0098457
ga,100,100,30,4,10,32.4667,20.0,0.02563202,0.0067515
ga,100,150,30,4,10,44.8333,30.0,0.02790423,0.00331632
ga,500,100,30,4,10,37.6667,26.0667,0.0244861,0.00537569
ga,500,200,30,4,10,73.5667,43.3333,0.02897909,0.00693618
ga,500,300,30,4,10,112.8,61.6333,0.05083303,0.01256484
ga,1000,500,30,4,10,211.5,151.4,0.11856308,0.02998365
ga,1000,1000,30,4,10,393.8667,232.6667,0.27045022,0.04644209
ga,1000,1500,30,4,10,587.6667,317.6333,0.52524599,0.05622981
ga,1000,2000,30,4,10,783.8333,409.6667,1.57929748,0.61551169
pso,100,20,30,4,10,6.7,4.0,0.01420232,0.00352044
pso,100,50,30,4,10,16.6333,10.0,0.04428547,0.0140563
pso,100,100,30,4,10,32.4667,20.0,0.0896003,0.02447665
pso,100,150,30,4,10,44.8333,30.0,0.11906002,0.02224727
pso,500,100,30,4,10,37.6667,25.1,0.03279027,0.00760931
pso,500,200,30,4,10,73.5667,41.6333,0.04572371,0.01142394
pso,500,300,30,4,10,112.8,61.1,0.10021004,0.04630427
pso,1000,500,30,4,10,211.5,148.3667,0.18316169,0.04454065
pso,1000,1000,30,4,10,393.8667,227.8,0.51240181,0.10114178
pso,1000,1500,30,4,10,587.6667,313.4333,0.94032655,0.11882918
pso,1000,2000,30,4,10,783.8333,406.3,2.48199812,0.87089711
