suite,space_m,node_count,packet_size_bits,initial_energy_j,pso_c1,pso_c2,pso_omega,transmission_range_m,cluster_head_ratio,eulc_candidate_ratio,pso_particles,pso_iterations,runs,seed_start,seed_end,max_rounds,fnd_mean,fnd_std,fnd_min,fnd_max,hnd_mean,lnd_mean,first_5pct_mean,residual_energy_pct_at_stop,dead_nodes_pct_at_stop,packets_received_mean,alive_nodes_mean,censored_runs,elapsed_sec
energy_sweep_100m_v2,100,100,6400,0.25,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,14,0.8165,13,15,,,,98.05,1.0,83,99,0,0.48
energy_sweep_100m_v2,100,200,6400,0.25,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,18,1.633,16,20,,,,97.49,0.5,233.6667,199,0,0.28
energy_sweep_100m_v2,100,300,6400,0.25,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,15,1.4142,13,16,,,,97.9,0.44,235,298.6667,0,0.28
energy_sweep_100m_v2,100,500,6400,0.25,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,12.6667,0.4714,12,13,,,,98.23,0.27,319.6667,498.6667,0,0.29
energy_sweep_100m_v2,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,372.6667,232.7249,60,618,,,,74.05,1.0,2002.3333,99,0,0.52
energy_sweep_100m_v2,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,319,86.5679,199,400,,,,77.72,0.5,3123,199,0,0.58
energy_sweep_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,65,9.9331,57,79,,,,95.46,0.33,763.3333,299,0,0.33
energy_sweep_100m_v2,100,500,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,38.6667,1.2472,37,40,,,,97.29,0.2,766.6667,499,0,0.33
energy_sweep_100m_v2,100,100,6400,0.75,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,1026.6667,41.0961,980,1080,,,,52.34,1.0,5245.6667,99,0,0.76
energy_sweep_100m_v2,100,200,6400,0.75,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,1013,180.235,780,1219,,,,52.84,0.5,11042.6667,199,0,1.33
energy_sweep_100m_v2,100,300,6400,0.75,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,1042.6667,162.3522,818,1196,,,,51.37,0.33,15861.6667,299,0,1.88
energy_sweep_100m_v2,100,500,6400,0.75,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,819,59.6713,738,880,,,,61.79,0.2,17404.3333,499,0,2.02
energy_sweep_100m_v2,100,100,6400,1.0,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,1996,85.3112,1879,2080,,,,30.52,1.0,10622.3333,99,0,1.23
energy_sweep_100m_v2,100,200,6400,1.0,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,1684.6667,157.557,1520,1897,,,,41.19,0.5,18233.3333,199,0,1.95
energy_sweep_100m_v2,100,300,6400,1.0,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,1717.3333,72.1495,1659,1819,,,,39.97,0.33,25892.3333,299,0,3.34
energy_sweep_100m_v2,100,500,6400,1.0,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,1552.6667,82.1394,1459,1659,,,,45.66,0.2,34576.6667,499,0,6.02
energy_sweep_100m_v2,100,100,6400,1.25,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,2444.3333,81.4957,2338,2536,,,,31.93,1.0,12887.6667,99,0,1.98
energy_sweep_100m_v2,100,200,6400,1.25,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,2434.6667,210.625,2197,2709,,,,31.99,0.5,27065,199,0,3.76
energy_sweep_100m_v2,100,300,6400,1.25,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,2005,38.893,1977,2060,,,,43.91,0.33,30835.6667,299,0,3.73
energy_sweep_100m_v2,100,500,6400,1.25,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,1912,57.312,1839,1979,,,,46.48,0.2,42205.6667,499,0,6.42
packet_sweep_100m_v2,100,100,3200,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,1651.6667,130.1316,1499,1817,,,,42.33,1.0,8650.3333,99,0,1.39
packet_sweep_100m_v2,100,200,3200,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,1544.3333,79.8763,1440,1634,,,,45.94,0.5,16713,199,0,1.96
packet_sweep_100m_v2,100,300,3200,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,1463.3333,108.2292,1333,1598,,,,48.67,0.33,21853.3333,299,0,2.49
packet_sweep_100m_v2,100,500,3200,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,1259.3333,101.8507,1159,1399,,,,55.81,0.2,27924,499,0,3.71
packet_sweep_100m_v2,100,100,4000,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,1126,151.2768,920,1279,,,,50.92,1.0,6168.3333,99,0,0.98
packet_sweep_100m_v2,100,200,4000,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,1064.3333,150.0341,855,1199,,,,53.44,0.5,11561.6667,199,0,1.53
