space_m,node_count,runs,avg_neighbor_count_mean,candidate_count_mean,runtime_mean_sec,relative_iter_2_mean,relative_iter_5_mean,relative_iter_10_mean,drop_iter_2_pct,drop_iter_5_pct,drop_iter_10_pct
100,20,10,19.0,6.6,0.0086,0.953,0.9422,0.9276,4.7,5.78,7.24
100,50,10,49.0,15.9,0.0129,0.9341,0.9006,0.867,6.59,9.94,13.3
100,100,10,98.99,31.6,0.023,0.943,0.9119,0.8738,5.7,8.81,12.62
100,200,10,198.99,53.9,0.0556,0.9748,0.9565,0.9285,2.52,4.35,7.15
500,200,10,16.072,74.3,0.0258,0.6234,0.4433,0.4066,37.66,55.67,59.34
500,300,10,23.926,113.0,0.0675,0.2333,0.0667,0.0,76.67,93.33,100.0
1000,500,10,5.9988,209.5,0.0726,0.9726,0.918,0.8872,2.74,8.2,11.28
1000,1000,10,11.9022,394.0,0.302,0.9097,0.8094,0.734,9.03,19.06,26.6
1000,1500,10,18.068,586.8,0.7814,0.8106,0.7407,0.6383,18.94,25.93,36.17
1000,2000,10,23.8796,783.3,1.3483,0.8588,0.683,0.4592,14.12,31.7,54.08
