space_m,node_count,runs,avg_neighbor_count_mean,candidate_count_mean,runtime_mean_sec,relative_iter_2_mean,relative_iter_5_mean,relative_iter_10_mean,relative_iter_50_mean,drop_iter_2_pct,drop_iter_5_pct,drop_iter_10_pct,drop_iter_50_pct
100,20,10,19.0,6.6,0.016,0.953,0.9422,0.9276,0.8708,4.7,5.78,7.24,12.92
100,50,10,49.0,15.9,0.0296,0.9341,0.9006,0.867,0.8115,6.59,9.94,13.3,18.85
100,100,10,98.99,31.6,0.0595,0.943,0.9119,0.8738,0.8074,5.7,8.81,12.62,19.26
100,200,10,198.99,53.9,0.1306,0.9748,0.9565,0.9285,0.8748,2.52,4.35,7.15,12.52
500,200,10,16.072,74.3,0.0676,0.6234,0.4433,0.4066,0.2439,37.66,55.67,59.34,75.61
500,300,10,23.926,113.0,0.205,0.2333,0.0667,0.0,0.0,76.67,93.33,100.0,100.0
1000,500,10,5.9988,209.5,0.179,0.9726,0.918,0.8872,0.7647,2.74,8.2,11.28,23.53
1000,1000,10,11.9022,394.0,0.931,0.9097,0.8094,0.734,0.569,9.03,19.06,26.6,43.1
1000,1500,10,18.068,586.8,1.9645,0.8106,0.7407,0.6383,0.4759,18.94,25.93,36.17,52.41
1000,2000,10,23.8796,783.3,3.4453,0.8588,0.683,0.4592,0.3042,14.12,31.7,54.08,69.58
