suite,param_label,space_m,node_count,runs,ft5_mean,ft5_std,ft5_cv_pct,fnd_mean,fnd_std,runtime_mean_sec,alpha_weight,beta_weight,gamma_weight,pso_omega,cluster_head_ratio,eulc_candidate_ratio,pso_particles,pso_iterations
PSO_PARAMETER_SET_COMPARISON,baseline,100,20,3,891.0,89.3346,10.0263,891.0,89.3346,0.3346,0.6,0.25,0.15,0.65,0.2,0.4,4,10
PSO_PARAMETER_SET_COMPARISON,baseline,100,50,3,845.3333,75.8786,8.9762,803.6667,79.9389,0.7547,0.6,0.25,0.15,0.65,0.2,0.4,4,10
PSO_PARAMETER_SET_COMPARISON,baseline,100,100,3,886.6667,7.8457,0.8849,819.0,15.1217,1.5456,0.6,0.25,0.15,0.65,0.2,0.4,4,10
PSO_PARAMETER_SET_COMPARISON,baseline,100,150,3,868.0,10.6145,1.2229,763.6667,8.8066,2.5628,0.6,0.25,0.15,0.65,0.2,0.4,4,10
PSO_PARAMETER_SET_COMPARISON,energy-focused,100,20,3,815.3333,99.6304,12.2196,815.3333,99.6304,0.2291,0.75,0.15,0.1,0.65,0.2,0.4,4,10
PSO_PARAMETER_SET_COMPARISON,energy-focused,100,50,3,874.3333,49.8152,5.6975,839.3333,56.9229,0.6845,0.75,0.15,0.1,0.65,0.2,0.4,4,10
PSO_PARAMETER_SET_COMPARISON,energy-focused,100,100,3,873.6667,11.4407,1.3095,807.3333,21.1713,1.5208,0.75,0.15,0.1,0.65,0.2,0.4,4,10
PSO_PARAMETER_SET_COMPARISON,energy-focused,100,150,3,864.6667,20.9815,2.4265,758.0,42.1663,2.412,0.75,0.15,0.1,0.65,0.2,0.4,4,10
PSO_PARAMETER_SET_COMPARISON,distance-focused,100,20,3,832.3333,120.5386,14.482,832.3333,120.5386,0.2385,0.45,0.45,0.1,0.65,0.2,0.4,4,10
PSO_PARAMETER_SET_COMPARISON,distance-focused,100,50,3,862.6667,23.3429,2.7059,770.3333,38.4216,0.6988,0.45,0.45,0.1,0.65,0.2,0.4,4,10
PSO_PARAMETER_SET_COMPARISON,distance-focused,100,100,3,872.3333,13.9124,1.5949,764.6667,18.9268,1.666,0.45,0.45,0.1,0.65,0.2,0.4,4,10
PSO_PARAMETER_SET_COMPARISON,distance-focused,100,150,3,869.3333,23.6126,2.7162,779.3333,17.1529,3.1134,0.45,0.45,0.1,0.65,0.2,0.4,4,10
PSO_PARAMETER_SET_COMPARISON,balanced-low-omega,100,20,3,856.3333,146.9724,17.163,856.3333,146.9724,0.3248,0.34,0.33,0.33,0.5,0.2,0.4,4,10
PSO_PARAMETER_SET_COMPARISON,balanced-low-omega,100,50,3,850.3333,42.2795,4.9721,775.0,41.4085,0.8365,0.34,0.33,0.33,0.5,0.2,0.4,4,10
PSO_PARAMETER_SET_COMPARISON,balanced-low-omega,100,100,3,898.3333,8.2597,0.9194,831.0,9.4163,1.8827,0.34,0.33,0.33,0.5,0.2,0.4,4,10
PSO_PARAMETER_SET_COMPARISON,balanced-low-omega,100,150,3,872.6667,14.3836,1.6482,798.0,18.3848,2.8203,0.34,0.33,0.33,0.5,0.2,0.4,4,10
