space_m,node_count,runs,avg_neighbor_count_mean,candidate_count_mean,runtime_mean_sec,relative_iter_10_mean,relative_iter_50_mean,drop_iter_10_pct,drop_iter_50_pct
100,20,30,19.0,6.43,0.013,0.9124,0.8766,8.76,12.34
100,50,30,49.0,16.87,0.0235,0.9006,0.8299,9.94,17.01
100,100,30,98.9953,31.27,0.0483,0.8856,0.8212,11.44,17.88
100,150,30,148.9911,43.17,0.0909,0.8821,0.8291,11.79,17.09
500,100,30,7.7667,38.17,0.0238,0.6294,0.4163,37.06,58.37
500,200,30,15.4543,73.73,0.0753,0.4271,0.1698,57.29,83.02
500,300,30,23.3256,112.87,0.2605,0.4438,0.2064,55.62,79.36
1000,500,30,5.9427,211.77,0.208,0.8236,0.7212,17.64,27.88
1000,1000,30,11.8398,392.7,1.115,0.741,0.5756,25.9,42.44
1000,1500,30,17.8194,586.6,2.2978,0.5862,0.3986,41.38,60.14
1000,2000,30,23.75,782.73,4.3711,0.521,0.2913,47.9,70.87
