space_m,node_count,runs,avg_neighbor_count_mean,candidate_count_mean,runtime_mean_sec,relative_iter_10_mean,relative_iter_50_mean,drop_iter_10_pct,drop_iter_50_pct
100,50,30,49.0,16.87,0.0293,0.9006,0.8299,9.94,17.01
100,100,30,98.9953,31.27,0.0542,0.8856,0.8212,11.44,17.88
100,150,30,148.9911,43.17,0.0903,0.8821,0.8291,11.79,17.09
100,200,30,198.978,54.6,0.1284,0.9012,0.8537,9.88,14.63
500,100,30,7.7667,38.17,0.0213,0.6294,0.4163,37.06,58.37
500,200,30,15.4543,73.73,0.0645,0.4271,0.1698,57.29,83.02
500,300,30,23.3256,112.87,0.1964,0.4438,0.2064,55.62,79.36
500,400,30,31.0298,151.5,0.4358,0.7427,0.68,25.73,32.0
500,500,30,39.0532,191.27,0.8477,0.8024,0.7519,19.76,24.81
1000,200,30,2.3377,108.5,0.0652,0.9075,0.8486,9.25,15.14
1000,300,30,3.5673,142.5,0.1014,0.8872,0.8094,11.28,19.06
1000,400,30,4.7323,176.77,0.1472,0.8502,0.7795,14.98,22.05
1000,500,30,5.9427,211.77,0.2353,0.8236,0.7212,17.64,27.88
