suite,space_m,node_count,packet_size_bits,initial_energy_j,transmission_range_m,contention_penalty_factor,contention_reference_degree,contention_max_multiplier,pso_particles,pso_iterations,runs,seed_start,seed_end,max_rounds,fnd_mean,fnd_std,fnd_cv_pct,ft5_mean,ft5_std,ft5_cv_pct,avg_neighbor_count_mean,avg_neighbor_count_std,node_density_per_m3,recluster_mean,runtime_mean_sec
REPORT_NODE_SET_DENSITY,100,50,6400,0.5,150.0,0.35,10.0,4.0,4,10,10,3042,3051,5000,282.2,34.9766,12.3942,339.9,23.956,7.048,49.0,0.0,0.0000500000,18.6,0.4148
REPORT_NODE_SET_DENSITY,100,100,6400,0.5,150.0,0.35,10.0,4.0,4,10,10,3042,3051,5000,120.8,48.6206,40.2488,224.2,15.1314,6.7491,98.992,0.016,0.0001000000,14.9,0.4313
REPORT_NODE_SET_DENSITY,100,150,6400,0.5,150.0,0.35,10.0,4.0,4,10,10,3042,3051,5000,126.1,46.9158,37.2052,253.0,6.957,2.7498,148.996,0.0085,0.0001500000,18.9,1.1377
REPORT_NODE_SET_DENSITY,100,200,6400,0.5,150.0,0.35,10.0,4.0,4,10,10,3042,3051,5000,167.2,21.6231,12.9325,268.3,8.6145,3.2108,198.987,0.0135,0.0002000000,21.3,1.9535
REPORT_NODE_SET_DENSITY,500,100,6400,0.5,150.0,0.35,10.0,4.0,4,10,10,3042,3051,5000,573.8,61.5675,10.7298,684.7,47.352,6.9157,8.116,0.7028,0.0000008000,38.6,1.2749
REPORT_NODE_SET_DENSITY,500,200,6400,0.5,150.0,0.35,10.0,4.0,4,10,10,3042,3051,5000,473.2,50.2788,10.6253,614.8,26.1603,4.2551,15.786,0.7716,0.0000016000,38.4,2.1175
REPORT_NODE_SET_DENSITY,500,300,6400,0.5,150.0,0.35,10.0,4.0,4,10,10,3042,3051,5000,325.7,58.0259,17.8158,509.7,22.2803,4.3712,24.0113,0.7398,0.0000024000,37.8,3.5439
REPORT_NODE_SET_DENSITY,500,400,6400,0.5,150.0,0.35,10.0,4.0,4,10,10,3042,3051,5000,251.4,17.2754,6.8717,445.1,17.9858,4.0409,31.9595,0.9878,0.0000032000,38.2,4.5552
REPORT_NODE_SET_DENSITY,500,500,6400,0.5,150.0,0.35,10.0,4.0,4,10,10,3042,3051,5000,164.3,70.2923,42.7829,403.0,15.0599,3.7369,39.5504,1.0744,0.0000040000,38.6,6.7202
REPORT_NODE_SET_DENSITY,1000,200,6400,0.5,150.0,0.35,10.0,4.0,4,10,10,3042,3051,5000,384.0,73.9905,19.2684,725.4,54.6136,7.5287,2.334,0.1368,0.0000002000,44.9,3.997
REPORT_NODE_SET_DENSITY,1000,300,6400,0.5,150.0,0.35,10.0,4.0,4,10,10,3042,3051,5000,376.2,47.2013,12.5469,722.5,53.4551,7.3986,3.6187,0.1357,0.0000003000,49.9,5.5851
REPORT_NODE_SET_DENSITY,1000,400,6400,0.5,150.0,0.35,10.0,4.0,4,10,10,3042,3051,5000,390.2,63.8542,16.3645,709.5,51.4398,7.2501,4.7855,0.2046,0.0000004000,53.0,7.0971
REPORT_NODE_SET_DENSITY,1000,500,6400,0.5,150.0,0.35,10.0,4.0,4,10,10,3042,3051,5000,365.7,48.2059,13.1818,697.2,44.8036,6.4262,5.9888,0.1132,0.0000005000,57.0,8.7037
