suite,space_m,node_count,packet_size_bits,initial_energy_j,transmission_range_m,contention_penalty_factor,contention_reference_degree,contention_max_multiplier,pso_particles,pso_iterations,runs,seed_start,seed_end,max_rounds,fnd_mean,fnd_std,fnd_cv_pct,ft5_mean,ft5_std,ft5_cv_pct,avg_neighbor_count_mean,avg_neighbor_count_std,node_density_per_m3,recluster_mean,runtime_mean_sec
REPORT_NODE_SET_DENSITY,100,50,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,893.7667,65.0895,7.2826,948.1,55.8852,5.8944,48.9987,0.0072,0.0000500000,49.4667,0.8036
REPORT_NODE_SET_DENSITY,100,100,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,835.5333,54.5666,6.5308,930.5333,42.2798,4.5436,98.9927,0.0159,0.0001000000,50.1667,1.7631
REPORT_NODE_SET_DENSITY,100,150,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,777.8667,52.2167,6.7128,930.5333,22.1566,2.3811,148.9938,0.0113,0.0001500000,52.6667,3.1007
REPORT_NODE_SET_DENSITY,100,200,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,771.5,45.1736,5.8553,917.9,21.6523,2.3589,198.9857,0.0152,0.0002000000,53.7,5.0545
REPORT_NODE_SET_DENSITY,500,100,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,728.1667,113.1032,15.5326,916.9333,46.1757,5.0359,7.8807,0.5472,0.0000008000,49.8,1.5131
REPORT_NODE_SET_DENSITY,500,200,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,828.1667,70.8722,8.5577,979.5333,49.217,5.0245,15.6813,0.8891,0.0000016000,56.8333,3.1836
REPORT_NODE_SET_DENSITY,500,300,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,838.7667,49.2766,5.8749,1003.6667,36.4603,3.6327,23.5136,1.0352,0.0000024000,62.4667,6.5342
REPORT_NODE_SET_DENSITY,500,400,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,807.8333,59.925,7.418,1017.6,32.1948,3.1638,31.0902,1.1149,0.0000032000,66.6,11.5079
REPORT_NODE_SET_DENSITY,500,500,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,788.2333,57.06,7.239,1020.6333,34.0769,3.3388,38.9848,1.3417,0.0000040000,70.2667,17.1011
REPORT_NODE_SET_DENSITY,1000,200,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,437.9,85.3969,19.5015,742.5667,54.5715,7.349,2.384,0.161,0.0000002000,45.4333,4.1703
REPORT_NODE_SET_DENSITY,1000,300,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,456.3333,88.7563,19.4499,755.9333,60.4174,7.9924,3.5567,0.1882,0.0000003000,50.8667,6.0373
REPORT_NODE_SET_DENSITY,1000,400,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,472.3333,52.9033,11.2004,797.9333,54.423,6.8205,4.6652,0.1827,0.0000004000,57.0667,8.261
REPORT_NODE_SET_DENSITY,1000,500,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,479.8667,53.0652,11.0583,830.4667,50.1257,6.0358,5.8873,0.1752,0.0000005000,62.3,12.9764
