suite,space_m,node_count,packet_size_bits,initial_energy_j,transmission_range_m,contention_penalty_factor,contention_reference_degree,contention_max_multiplier,pso_particles,pso_iterations,runs,seed_start,seed_end,max_rounds,fnd_mean,fnd_std,fnd_cv_pct,ft5_mean,ft5_std,ft5_cv_pct,avg_neighbor_count_mean,avg_neighbor_count_std,node_density_per_m3,recluster_mean,runtime_mean_sec
REPORT_TUNED_NODE_SET_FULL,100,20,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,837.7,161.4745,19.2759,837.7,161.4745,19.2759,18.9967,0.018,0.0000200000,,0.2748
REPORT_TUNED_NODE_SET_FULL,100,50,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,893.7667,65.0895,7.2826,948.1,55.8852,5.8944,48.9987,0.0072,0.0000500000,49.4667,0.8036
REPORT_TUNED_NODE_SET_FULL,100,100,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,835.5333,54.5666,6.5308,930.5333,42.2798,4.5436,98.9927,0.0159,0.0001000000,50.1667,1.7631
REPORT_TUNED_NODE_SET_FULL,100,150,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,777.8667,52.2167,6.7128,930.5333,22.1566,2.3811,148.9938,0.0113,0.0001500000,52.6667,3.1007
REPORT_TUNED_NODE_SET_FULL,500,100,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,728.1667,113.1032,15.5326,916.9333,46.1757,5.0359,7.8807,0.5472,0.0000008000,49.8,1.5131
REPORT_TUNED_NODE_SET_FULL,500,200,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,828.1667,70.8722,8.5577,979.5333,49.217,5.0245,15.6813,0.8891,0.0000016000,56.8333,3.1836
REPORT_TUNED_NODE_SET_FULL,500,300,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,838.7667,49.2766,5.8749,1003.6667,36.4603,3.6327,23.5136,1.0352,0.0000024000,62.4667,6.5342
REPORT_TUNED_NODE_SET_FULL,1000,500,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,479.8667,53.0652,11.0583,830.4667,50.1257,6.0358,5.8873,0.1752,0.0000005000,62.3,12.9764
REPORT_TUNED_NODE_SET_FULL,1000,1000,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,499.7667,62.7273,12.5513,948.2,37.6567,3.9714,11.7937,0.1962,0.0000010000,,46.7784
REPORT_TUNED_NODE_SET_FULL,1000,1500,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,537.1,50.1261,9.3327,1000.3667,23.7381,2.3729,17.7964,0.2548,0.0000015000,,101.3026
REPORT_TUNED_NODE_SET_FULL,1000,2000,6400,0.5,150.0,0.01,10.0,4.0,4,10,30,4000,4029,5000,566.7667,59.622,10.5197,1019.2333,14.737,1.4459,23.6638,0.2642,0.0000020000,,175.7933
