suite,optimizer,space_m,node_count,runs,ft5_mean,ft5_std,ft5_cv_pct,fnd_mean,fnd_std,runtime_mean_sec,runtime_std_sec,avg_neighbor_count_mean
REPORT_TUNED_OPT,pso,100,20,30,837.7,161.4745,19.2759,837.7,161.4745,0.2748,0.0564,18.9967
REPORT_TUNED_OPT,pso,100,50,30,948.1,55.8852,5.8944,893.7667,65.0895,0.8036,0.0664,48.9987
REPORT_TUNED_OPT,pso,100,100,30,930.5333,42.2798,4.5436,835.5333,54.5666,1.7631,0.119,98.9927
REPORT_TUNED_OPT,pso,100,150,30,930.5333,22.1566,2.3811,777.8667,52.2167,3.1007,0.4182,148.9938
REPORT_TUNED_OPT,pso,500,100,30,916.9333,46.1757,5.0359,728.1667,113.1032,1.5131,0.1005,7.8807
REPORT_TUNED_OPT,pso,500,200,30,979.5333,49.217,5.0245,828.1667,70.8722,3.1836,0.2129,15.6813
REPORT_TUNED_OPT,pso,500,300,30,1003.6667,36.4603,3.6327,838.7667,49.2766,6.5342,0.3927,23.5136
REPORT_TUNED_OPT,pso,1000,500,30,830.4667,50.1257,6.0358,479.8667,53.0652,12.9764,2.4804,5.8873
REPORT_TUNED_OPT,pso,1000,1000,30,948.2,37.6567,3.9714,499.7667,62.7273,46.7784,3.0852,11.7937
REPORT_TUNED_OPT,pso,1000,1500,30,1000.3667,23.7381,2.3729,537.1,50.1261,101.3026,4.0259,17.7964
REPORT_TUNED_OPT,pso,1000,2000,30,1019.2333,14.737,1.4459,566.7667,59.622,175.7933,10.5643,23.6638
REPORT_TUNED_OPT,ga,100,20,30,845.7333,183.321,21.676,845.7333,183.321,0.2532,0.06,18.9967
REPORT_TUNED_OPT,ga,100,50,30,971.2333,52.9683,5.4537,907.9,71.876,0.8041,0.1232,48.9987
REPORT_TUNED_OPT,ga,100,100,30,953.9333,43.4626,4.5561,857.0667,66.2158,1.6142,0.0731,98.9927
REPORT_TUNED_OPT,ga,100,150,30,950.9333,25.219,2.652,827.9667,38.4131,2.4101,0.079,148.9938
REPORT_TUNED_OPT,ga,500,100,30,917.2667,56.1735,6.124,734.2667,144.0875,2.0076,0.2676,7.8807
REPORT_TUNED_OPT,ga,500,200,30,979.5333,50.4002,5.1453,845.6,74.6108,4.1384,0.3966,15.6813
REPORT_TUNED_OPT,ga,500,300,30,1002.3333,30.9702,3.0898,843.1,53.8779,6.1983,0.2433,23.5136
REPORT_TUNED_OPT,ga,1000,500,30,825.4667,52.3104,6.3371,471.6333,50.1813,13.5601,0.9209,5.8873
REPORT_TUNED_OPT,ga,1000,1000,30,945.9,39.7973,4.2073,488.7333,47.4215,36.1224,2.0069,11.7937
REPORT_TUNED_OPT,ga,1000,1500,30,997.1667,20.1446,2.0202,528.9,60.7038,72.1406,2.4201,17.7964
REPORT_TUNED_OPT,ga,1000,2000,30,1014.5667,16.6387,1.64,600.9333,60.7514,131.5977,7.8247,23.6638
REPORT_TUNED_OPT,de,100,20,30,850.4333,162.9425,19.1599,850.4333,162.9425,0.5596,0.1001,18.9967
REPORT_TUNED_OPT,de,100,50,30,952.2667,62.0311,6.5141,888.4333,68.4109,2.0967,0.2426,48.9987
REPORT_TUNED_OPT,de,100,100,30,940.5667,43.9437,4.672,839.6,56.3292,3.3239,0.473,98.9927
REPORT_TUNED_OPT,de,100,150,30,939.4667,24.9463,2.6554,809.4,50.8531,4.9311,0.5214,148.9938
REPORT_TUNED_OPT,de,500,100,30,918.0333,56.3462,6.1377,743.7,143.2937,2.4074,0.3166,7.8807
REPORT_TUNED_OPT,de,500,200,30,975.0333,47.6302,4.885,820.2667,86.0507,4.6574,0.3858,15.6813
REPORT_TUNED_OPT,de,500,300,30,1003.7,33.9354,3.381,823.1667,59.4357,7.881,0.4207,23.5136
REPORT_TUNED_OPT,de,1000,500,30,834.3333,47.978,5.7505,469.3333,55.4348,15.008,0.8172,5.8873
REPORT_TUNED_OPT,de,1000,1000,30,944.5,35.733,3.7833,499.7667,40.3251,50.4535,6.3244,11.7937
REPORT_TUNED_OPT,de,1000,1500,30,995.0667,22.4929,2.2604,527.3667,47.4788,100.3034,4.9352,17.7964
REPORT_TUNED_OPT,de,1000,2000,30,1013.4667,19.7632,1.9501,584.5,56.2783,178.718,13.323,23.6638
