suite,optimizer,space_m,node_count,packet_size_bits,initial_energy_j,transmission_range_m,population_size,iterations,runs,seed_start,seed_end,max_rounds,ft5_dead_threshold_nodes,ft5_mean,ft5_std,ft5_cv_pct,fnd_mean,fnd_std,runtime_mean_sec,runtime_std_sec,runtime_total_sec,recluster_mean,final_improvement_mean_pct,final_improvement_std_pct
S2_OPT,pso,100,50,6400,0.5,150.0,20,50,10,2642,2651,5000,3,877.2,105.7174,12.0517,831.1,93.197,5.7006,0.9665,57.0063,46.0,16.1801,8.5443
S2_OPT,pso,100,70,6400,0.5,150.0,20,50,10,2642,2651,5000,4,922.7,109.5765,11.8756,833.4,98.0298,9.1147,1.6956,91.1472,48.7,16.3484,8.2793
S2_OPT,pso,100,90,6400,0.5,150.0,20,50,10,2642,2651,5000,5,922.4,49.2447,5.3388,832.5,45.6952,12.9223,1.1415,129.2228,50.0,16.9701,7.6956
S2_OPT,pso,500,100,6400,0.5,150.0,20,50,10,2642,2651,5000,5,911.6,39.3909,4.3211,738.0,92.0065,5.3789,0.5476,53.7893,49.4,68.8895,15.9199
S2_OPT,pso,500,200,6400,0.5,150.0,20,50,10,2642,2651,5000,10,979.4,28.4612,2.906,856.7,63.2425,26.0899,4.4441,260.8992,57.2,95.0598,17.8915
S2_OPT,pso,500,300,6400,0.5,150.0,20,50,10,2642,2651,5000,15,1038.6,10.5849,1.0192,809.2,72.6936,77.3888,6.8069,773.8875,64.0,62.575,41.0096
S2_OPT,pso,1000,500,6400,0.5,150.0,20,50,10,2642,2651,5000,25,835.6,70.643,8.4542,457.7,58.8456,50.3143,4.008,503.1429,63.4,37.5993,6.309
S2_OPT,pso,1000,700,6400,0.5,150.0,20,50,10,2642,2651,5000,35,896.8,51.6136,5.7553,472.0,55.8838,96.8346,9.1359,968.3464,75.0,48.4019,7.5883
S2_OPT,pso,1000,1000,6400,0.5,150.0,20,50,10,2642,2651,5000,50,959.8,34.1051,3.5534,462.8,69.4072,274.2815,17.3973,2742.8155,86.0,59.9956,8.7658
S2_OPT,ga,100,50,6400,0.5,150.0,20,50,10,2642,2651,5000,3,856.1,87.5688,10.2288,782.7,72.8204,3.3833,0.2886,33.8326,44.6,13.7296,8.4645
S2_OPT,ga,100,70,6400,0.5,150.0,20,50,10,2642,2651,5000,4,943.6,89.1462,9.4475,860.0,105.2435,4.7024,0.3921,47.0244,50.2,15.8268,8.2308
S2_OPT,ga,100,90,6400,0.5,150.0,20,50,10,2642,2651,5000,5,940.2,34.7068,3.6914,831.9,41.7815,5.9993,0.5317,59.9927,50.8,14.9593,7.3646
S2_OPT,ga,500,100,6400,0.5,150.0,20,50,10,2642,2651,5000,5,907.1,80.3983,8.8632,764.0,110.8594,4.1414,0.2661,41.4143,48.8,62.7414,18.979
S2_OPT,ga,500,200,6400,0.5,150.0,20,50,10,2642,2651,5000,10,992.3,43.5891,4.3927,853.2,49.9436,10.8124,0.7432,108.1237,58.0,89.0269,24.4408
S2_OPT,ga,500,300,6400,0.5,150.0,20,50,10,2642,2651,5000,15,1040.7,23.673,2.2747,846.9,60.6786,28.4191,1.958,284.191,64.3,58.6894,42.7374
S2_OPT,ga,1000,500,6400,0.5,150.0,20,50,10,2642,2651,5000,25,843.6,73.5543,8.7191,483.8,52.7822,35.1093,2.4212,351.0927,63.8,41.6343,6.833
S2_OPT,ga,1000,700,6400,0.5,150.0,20,50,10,2642,2651,5000,35,895.1,42.7632,4.7775,472.1,43.9146,75.8483,4.4051,758.4828,72.1,54.9659,7.855
S2_OPT,ga,1000,1000,6400,0.5,150.0,20,50,10,2642,2651,5000,50,966.8,38.2434,3.9557,513.4,45.625,237.2757,12.5736,2372.7572,87.0,68.6379,8.1069
S2_OPT,de,100,50,6400,0.5,150.0,20,50,10,2642,2651,5000,3,862.5,79.0535,9.1656,796.9,95.2811,7.4616,1.17,74.6156,45.2,17.296,8.751
S2_OPT,de,100,70,6400,0.5,150.0,20,50,10,2642,2651,5000,4,927.5,84.9061,9.1543,826.3,98.4571,14.1434,1.8764,141.4339,49.4,19.0647,8.2863
S2_OPT,de,100,90,6400,0.5,150.0,20,50,10,2642,2651,5000,5,925.8,47.7573,5.1585,819.0,71.3078,20.0872,2.3431,200.872,50.1,19.3242,8.3097
S2_OPT,de,500,100,6400,0.5,150.0,20,50,10,2642,2651,5000,5,888.5,43.3203,4.8757,739.0,44.1543,8.8234,0.3904,88.2337,48.1,79.9715,13.9093
S2_OPT,de,500,200,6400,0.5,150.0,20,50,10,2642,2651,5000,10,967.9,30.9272,3.1953,806.9,69.4902,41.2765,3.7427,412.7654,55.8,96.8799,14.933
S2_OPT,de,500,300,6400,0.5,150.0,20,50,10,2642,2651,5000,15,1025.5,13.7131,1.3372,838.2,53.9589,99.1851,3.5071,991.8508,62.6,59.4316,40.6482
S2_OPT,de,1000,500,6400,0.5,150.0,20,50,10,2642,2651,5000,25,845.4,54.3253,6.426,495.7,51.7901,63.61,5.2337,636.0998,63.3,38.9845,5.6546
S2_OPT,de,1000,700,6400,0.5,150.0,20,50,10,2642,2651,5000,35,904.6,39.8552,4.4058,498.4,55.9539,113.513,9.2189,1135.1299,74.9,49.4336,6.8828
S2_OPT,de,1000,1000,6400,0.5,150.0,20,50,10,2642,2651,5000,50,965.3,11.9084,1.2336,497.1,64.649,272.2762,9.6116,2722.762,88.4,62.2863,6.9744
