space_m,node_count,packet_size_bits,initial_energy_j,pso_c1,pso_c2,cluster_head_ratio,eulc_candidate_ratio,transmission_range_m,pso_particles,pso_iterations,unique_seeds,seed_min,seed_max,max_rounds,fnd_mean,fnd_std,fnd_cv_pct,fnd_min,fnd_q1,fnd_median,fnd_q3,fnd_max,fnd_iqr,residual_energy_pct_at_fnd_mean,dead_nodes_pct_at_fnd_mean,packets_received_mean
100,100,4000,0.5,0.5,2.5,0.2,0.4,150.0,4,3,30,42,71,6000,1598.0,77.3843,4.8426,1419.0,1553.75,1615.5,1639.0,1754.0,85.25,31.8005,1.0,31958.7333
100,100,4000,0.5,1.5,1.5,0.2,0.4,150.0,4,3,30,42,71,6000,1566.2,88.8881,5.6754,1380.0,1519.0,1567.0,1634.0,1754.0,115.0,33.1266,1.0333,31322.8667
100,100,4000,0.5,2.5,0.5,0.2,0.4,150.0,4,3,30,42,71,6000,1596.1667,98.4947,6.1707,1239.0,1574.0,1598.5,1639.5,1776.0,65.5,31.9333,1.0,31922.3333
100,100,4000,1.0,0.5,2.5,0.2,0.4,150.0,4,3,30,42,71,6000,3612.9333,199.362,5.518,3140.0,3448.25,3658.0,3778.75,3926.0,330.5,23.0324,1.0333,72257.6667
100,100,4000,1.0,1.5,1.5,0.2,0.4,150.0,4,3,30,42,71,6000,3630.7333,225.9155,6.2223,3079.0,3508.0,3698.0,3789.0,4060.0,281.0,22.6433,1.0333,72612.9667
100,100,4000,1.0,2.5,0.5,0.2,0.4,150.0,4,3,30,42,71,6000,3670.8333,188.583,5.1373,3200.0,3576.75,3690.0,3795.75,3960.0,219.0,21.8876,1.0333,73414.9333
100,100,6400,0.5,0.5,2.5,0.2,0.4,150.0,4,3,30,42,71,6000,926.7667,64.8756,7.0002,740.0,899.0,937.5,959.5,1053.0,60.5,36.7328,1.0,18534.1667
100,100,6400,0.5,1.5,1.5,0.2,0.4,150.0,4,3,30,42,71,6000,927.2,57.7872,6.2324,795.0,897.25,938.0,977.5,1014.0,80.25,36.7099,1.0,18542.9667
100,100,6400,0.5,2.5,0.5,0.2,0.4,150.0,4,3,30,42,71,6000,938.9,64.8837,6.9106,700.0,915.0,940.0,978.5,1036.0,63.5,35.998,1.0333,18776.9333
100,100,6400,1.0,0.5,2.5,0.2,0.4,150.0,4,3,30,42,71,6000,2246.7,124.4149,5.5377,1976.0,2161.5,2266.5,2356.25,2456.0,194.75,23.4793,1.0,44933.0
100,100,6400,1.0,1.5,1.5,0.2,0.4,150.0,4,3,30,42,71,6000,2230.4667,105.0056,4.7078,2019.0,2133.0,2249.0,2314.25,2414.0,181.25,23.9858,1.0667,44608.2667
100,100,6400,1.0,2.5,0.5,0.2,0.4,150.0,4,3,30,42,71,6000,2251.2333,128.0332,5.6872,1973.0,2172.75,2254.0,2352.25,2459.0,179.5,23.4133,1.0,45023.6667
100,200,4000,0.5,0.5,2.5,0.2,0.4,150.0,4,3,30,42,71,6000,1643.7333,47.5015,2.8899,1558.0,1609.0,1656.0,1678.0,1737.0,69.0,30.0499,0.5167,65748.2667
100,200,4000,0.5,1.5,1.5,0.2,0.4,150.0,4,3,30,42,71,6000,1630.2667,44.2771,2.7159,1499.0,1599.0,1628.5,1659.0,1716.0,60.0,30.6016,0.5167,65209.6667
100,200,4000,0.5,2.5,0.5,0.2,0.4,150.0,4,3,30,42,71,6000,1640.9,51.339,3.1287,1536.0,1616.0,1639.0,1675.75,1734.0,59.75,30.2372,0.5167,65634.8667
100,200,4000,1.0,0.5,2.5,0.2,0.4,150.0,4,3,30,42,71,6000,3824.2667,103.2198,2.6991,3599.0,3763.25,3828.0,3897.5,3998.0,134.25,18.7512,0.5333,152969.5667
100,200,4000,1.0,1.5,1.5,0.2,0.4,150.0,4,3,30,42,71,6000,3807.7667,90.6196,2.3799,3600.0,3748.5,3831.0,3877.75,3936.0,129.25,19.0975,0.5,152309.7
100,200,4000,1.0,2.5,0.5,0.2,0.4,150.0,4,3,30,42,71,6000,3846.9,100.5284,2.6132,3598.0,3778.25,3859.5,3919.25,4020.0,141.0,18.3372,0.5,153875.0
100,200,6400,0.5,0.5,2.5,0.2,0.4,150.0,4,3,30,42,71,6000,951.6667,56.1257,5.8976,780.0,937.25,958.0,992.75,1038.0,55.5,35.3375,0.5,38065.6667
100,200,6400,0.5,1.5,1.5,0.2,0.4,150.0,4,3,30,42,71,6000,950.2667,49.9793,5.2595,780.0,937.0,956.5,979.75,1018.0,42.75,35.3799,0.5333,38009.5667
100,200,6400,0.5,2.5,0.5,0.2,0.4,150.0,4,3,30,42,71,6000,956.0,60.1016,6.2868,799.0,905.0,967.0,999.75,1060.0,94.75,35.0909,0.5,38238.9333
100,200,6400,1.0,0.5,2.5,0.2,0.4,150.0,4,3,30,42,71,6000,2335.0333,54.6519,2.3405,2179.0,2304.0,2337.0,2374.25,2420.0,70.25,20.7112,0.55,93400.2
100,200,6400,1.0,1.5,1.5,0.2,0.4,150.0,4,3,30,42,71,6000,2315.0,87.5858,3.7834,2178.0,2238.25,2318.5,2395.0,2477.0,156.75,21.3686,0.5,92599.0
100,200,6400,1.0,2.5,0.5,0.2,0.4,150.0,4,3,30,42,71,6000,2335.6333,58.1638,2.4903,2219.0,2316.25,2338.5,2373.5,2494.0,57.25,20.7687,0.5167,93424.3
100,300,4000,0.5,0.5,2.5,0.2,0.4,150.0,4,3,30,42,71,6000,1661.6,46.8961,2.8223,1536.0,1638.0,1677.5,1693.5,1734.0,55.5,29.5475,0.3444,99617.6333
100,300,4000,0.5,1.5,1.5,0.2,0.4,150.0,4,3,30,42,71,6000,1651.1667,68.3998,4.1425,1515.0,1600.0,1675.5,1706.75,1739.0,106.75,29.9477,0.3333,98992.1667
100,300,4000,0.5,2.5,0.5,0.2,0.4,150.0,4,3,30,42,71,6000,1669.0667,51.3205,3.0748,1540.0,1625.0,1678.0,1698.5,1759.0,73.5,29.2658,0.3333,100070.3
100,300,4000,1.0,0.5,2.5,0.2,0.4,150.0,4,3,30,42,71,6000,3900.0667,82.218,2.1081,3639.0,3876.0,3895.5,3956.25,4056.0,80.25,17.4632,0.3444,233911.6333
100,300,4000,1.0,1.5,1.5,0.2,0.4,150.0,4,3,30,42,71,6000,3895.4333,80.3064,2.0616,3735.0,3838.25,3915.5,3971.25,4015.0,133.0,17.4677,0.3444,233641.0
100,300,4000,1.0,2.5,0.5,0.2,0.4,150.0,4,3,30,42,71,6000,3906.3667,87.7111,2.2453,3600.0,3862.5,3928.0,3958.0,4037.0,95.5,17.2875,0.3333,234304.9667
100,300,6400,0.5,0.5,2.5,0.2,0.4,150.0,4,3,30,42,71,6000,961.7,42.5152,4.4208,876.0,937.5,960.0,991.25,1057.0,53.75,34.9007,0.3333,57622.3333
100,300,6400,0.5,1.5,1.5,0.2,0.4,150.0,4,3,30,42,71,6000,966.2667,37.7924,3.9112,898.0,939.25,959.0,997.75,1035.0,58.5,34.5204,0.3667,57898.8333
100,300,6400,0.5,2.5,0.5,0.2,0.4,150.0,4,3,30,42,71,6000,966.4333,48.6852,5.0376,857.0,940.0,978.0,999.75,1038.0,59.75,34.5752,0.3444,57910.8667
100,300,6400,1.0,0.5,2.5,0.2,0.4,150.0,4,3,30,42,71,6000,2372.5,46.7609,1.971,2295.0,2337.0,2375.5,2399.25,2473.0,62.25,19.7115,0.3556,142272.3
100,300,6400,1.0,1.5,1.5,0.2,0.4,150.0,4,3,30,42,71,6000,2356.8333,60.1432,2.5519,2180.0,2336.75,2377.5,2395.75,2458.0,59.0,20.1729,0.3333,141331.6667
100,300,6400,1.0,2.5,0.5,0.2,0.4,150.0,4,3,30,42,71,6000,2365.2,72.0548,3.0465,2098.0,2342.0,2378.5,2419.25,2458.0,77.25,19.9677,0.3333,141839.0
100,500,4000,0.5,0.5,2.5,0.2,0.4,150.0,4,3,30,42,71,6000,1687.1,41.4659,2.4578,1617.0,1655.0,1688.0,1718.0,1776.0,63.0,28.8175,0.2067,167573.6
100,500,4000,0.5,1.5,1.5,0.2,0.4,150.0,4,3,30,42,71,6000,1678.9,48.4901,2.8882,1536.0,1657.5,1688.5,1717.75,1757.0,60.25,29.1003,0.2133,166763.0
100,500,4000,0.5,2.5,0.5,0.2,0.4,150.0,4,3,30,42,71,6000,1672.9667,40.7893,2.4381,1560.0,1656.0,1676.5,1695.5,1757.0,39.5,29.3434,0.2,166163.2333
100,500,4000,1.0,0.5,2.5,0.2,0.4,150.0,4,3,30,42,71,6000,3946.4,71.4995,1.8118,3778.0,3936.5,3958.5,3997.75,4052.0,61.25,16.751,0.2067,387803.2333
100,500,4000,1.0,1.5,1.5,0.2,0.4,150.0,4,3,30,42,71,6000,3950.8667,93.4344,2.3649,3660.0,3917.0,3959.0,4010.25,4080.0,93.25,16.618,0.2,388263.3
100,500,4000,1.0,2.5,0.5,0.2,0.4,150.0,4,3,30,42,71,6000,3960.7,67.6728,1.7086,3780.0,3933.5,3949.0,4018.0,4059.0,84.5,16.4015,0.2067,389142.4333
100,500,6400,0.5,0.5,2.5,0.2,0.4,150.0,4,3,30,42,71,6000,968.7,37.2551,3.8459,879.0,957.25,976.0,998.0,1036.0,40.75,34.7511,0.2133,95911.4667
100,500,6400,0.5,1.5,1.5,0.2,0.4,150.0,4,3,30,42,71,6000,963.5333,62.7018,6.5075,780.0,957.25,966.5,999.75,1055.0,42.5,35.0461,0.2,95382.9667
100,500,6400,0.5,2.5,0.5,0.2,0.4,150.0,4,3,30,42,71,6000,968.3,46.8317,4.8365,839.0,957.75,979.0,999.75,1020.0,42.0,34.7393,0.2133,95851.5333
100,500,6400,1.0,0.5,2.5,0.2,0.4,150.0,4,3,30,42,71,6000,2399.6667,51.3493,2.1399,2238.0,2379.0,2417.5,2429.75,2479.0,50.75,19.162,0.2133,238441.0333
100,500,6400,1.0,1.5,1.5,0.2,0.4,150.0,4,3,30,42,71,6000,2400.3,47.371,1.9735,2279.0,2383.75,2399.0,2432.5,2494.0,48.75,19.0641,0.2267,238497.9
100,500,6400,1.0,2.5,0.5,0.2,0.4,150.0,4,3,30,42,71,6000,2386.3333,59.0386,2.474,2258.0,2324.5,2399.0,2437.75,2479.0,113.25,19.5285,0.2067,237105.3667
