suite,space_m,node_count,packet_size_bits,initial_energy_j,pso_c1,pso_c2,pso_omega,transmission_range_m,cluster_head_ratio,eulc_candidate_ratio,pso_particles,pso_iterations,runs,seed_min,seed_max,fnd_mean,fnd_std,fnd_min,fnd_max,fnd_cv_pct
candidate_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,20,72,91,909.5500,52.6265,800,997,5.7860
candidate_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.3,4,3,20,72,91,941.6500,53.3266,839,1038,5.6631
candidate_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,72,91,969.3500,40.3699,898,1039,4.1646
candidate_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.5,4,3,20,72,91,984.2500,35.1779,916,1058,3.5741
ch_ratio_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.1,0.4,4,3,20,72,91,688.4500,79.9465,518,840,11.6125
ch_ratio_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.15,0.4,4,3,20,72,91,886.7000,60.8795,680,959,6.8658
ch_ratio_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,72,91,969.3500,40.3699,898,1039,4.1646
ch_ratio_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.25,0.4,4,3,20,72,91,995.9000,63.0729,860,1079,6.3333
ch_ratio_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.3,0.4,4,3,20,72,91,1015.6000,40.9114,920,1075,4.0283
omega_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.35,150.0,0.2,0.4,4,3,20,72,91,944.3000,72.6272,740,1039,7.6911
omega_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.5,150.0,0.2,0.4,4,3,20,72,91,976.0000,48.0697,860,1059,4.9252
omega_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,72,91,969.3500,40.3699,898,1039,4.1646
omega_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.8,150.0,0.2,0.4,4,3,20,72,91,963.4000,52.8369,860,1059,5.4844
range_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,100.0,0.2,0.4,4,3,20,72,91,962.1500,51.5240,859,1051,5.3551
range_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,72,91,969.3500,40.3699,898,1039,4.1646
range_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,200.0,0.2,0.4,4,3,20,72,91,962.6500,40.9210,859,1018,4.2509
range_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,250.0,0.2,0.4,4,3,20,72,91,962.6500,40.9210,859,1018,4.2509
space500_scale_stress_v2,500,1000,4000,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,30,72,101,1417.9667,62.0637,1298,1536,4.3769
space500_scale_stress_v2,500,1000,4000,1.0,1.5,1.5,0.65,150.0,0.2,0.4,4,3,30,72,101,3491.4667,165.7648,3099,3739,4.7477
space500_scale_stress_v2,500,1000,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,30,72,101,792.3667,63.8182,599,880,8.0541
space500_scale_stress_v2,500,1000,6400,1.0,1.5,1.5,0.65,150.0,0.2,0.4,4,3,30,72,101,2065.5333,101.9960,1819,2256,4.9380
space500_scale_stress_v2,500,1500,4000,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,30,72,101,1341.6000,115.4035,1020,1538,8.6019
space500_scale_stress_v2,500,1500,4000,1.0,1.5,1.5,0.65,150.0,0.2,0.4,4,3,30,72,101,3520.4667,118.9383,3298,3738,3.3785
space500_scale_stress_v2,500,1500,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,30,72,101,726.5667,81.7980,520,837,11.2582
space500_scale_stress_v2,500,1500,6400,1.0,1.5,1.5,0.65,150.0,0.2,0.4,4,3,30,72,101,2039.6667,98.4203,1760,2197,4.8253
space500_scale_stress_v2,500,2000,4000,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,30,72,101,1283.6000,77.9678,1098,1460,6.0741
space500_scale_stress_v2,500,2000,4000,1.0,1.5,1.5,0.65,150.0,0.2,0.4,4,3,30,72,101,3390.2333,169.5550,2960,3657,5.0013
space500_scale_stress_v2,500,2000,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,30,72,101,697.9000,60.1661,518,800,8.6210
space500_scale_stress_v2,500,2000,6400,1.0,1.5,1.5,0.65,150.0,0.2,0.4,4,3,30,72,101,1944.7667,114.5786,1679,2115,5.8916
space500_scale_stress_v2,500,2500,4000,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,30,72,101,1242.1333,101.6955,980,1418,8.1872
space500_scale_stress_v2,500,2500,4000,1.0,1.5,1.5,0.65,150.0,0.2,0.4,4,3,30,72,101,3396.2667,117.5800,3180,3619,3.4620
space500_scale_stress_v2,500,2500,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,30,72,101,676.5000,54.7715,559,799,8.0963
space500_scale_stress_v2,500,2500,6400,1.0,1.5,1.5,0.65,150.0,0.2,0.4,4,3,30,72,101,1899.1000,109.1547,1680,2120,5.7477
