suite,space_m,node_count,packet_size_bits,initial_energy_j,pso_c1,pso_c2,pso_omega,transmission_range_m,cluster_head_ratio,eulc_candidate_ratio,pso_particles,pso_iterations,runs,seed_start,seed_end,max_rounds,fnd_mean,fnd_std,fnd_min,fnd_max,fnd_cv_pct,residual_energy_pct_at_fnd,dead_nodes_pct_at_fnd,packets_received_mean,elapsed_sec
omega_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.35,150.0,0.2,0.4,4,3,20,72,91,6000,944.3,72.6272,740,1039,7.6911,36.03,0.33,56595,17.17
omega_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.5,150.0,0.2,0.4,4,3,20,72,91,6000,976,48.0697,860,1059,4.9252,33.88,0.35,58496.95,22.04
omega_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,72,91,6000,969.35,40.3699,898,1039,4.1646,34.31,0.33,58098,22.73
omega_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.8,150.0,0.2,0.4,4,3,20,72,91,6000,963.4,52.8369,860,1059,5.4844,34.7,0.33,57741,30.62
candidate_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,20,72,91,6000,909.55,52.6265,800,997,5.786,37.93,0.35,42035.15,13.57
candidate_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.3,4,3,20,72,91,6000,941.65,53.3266,839,1038,5.6631,36.24,0.35,55764.95,26.44
candidate_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,72,91,6000,969.35,40.3699,898,1039,4.1646,34.31,0.33,58098,29.04
candidate_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.5,4,3,20,72,91,6000,984.25,35.1779,916,1058,3.5741,33.3,0.37,59053.7,33.86
range_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,100.0,0.2,0.4,4,3,20,72,91,6000,962.15,51.524,859,1051,5.3551,34.8,0.35,57623.85,32.31
range_stress_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.4,4,3,20,72,91,6000,969.35,40.3699,898,1039,4.1646,34.31,0.33,58098,33.6
