space_m,node_count,packet_size_bits,initial_energy_j,pso_c1,pso_c2,cluster_head_ratio,eulc_candidate_ratio,pso_particles,pso_iterations,runs,seed_start,seed_end,max_rounds,fnd_mean,fnd_std,fnd_min,fnd_max,fnd_cv_pct,residual_energy_pct_at_fnd,dead_nodes_pct_at_fnd,elapsed_sec
100,100,4000,0.5,1.5,1.5,0.2,0.4,4,3,10,42,51,6000,1607.7,47.7285,1536,1680,2.9687,31.5,1.1,12.75
100,100,4000,0.5,2.5,0.5,0.2,0.4,4,3,10,42,51,6000,1607.7,79.2894,1438,1750,4.9319,31.6,1.0,13.25
100,100,4000,0.5,0.5,2.5,0.2,0.4,4,3,10,42,51,6000,1623.7,67.4122,1499,1720,4.1518,30.89,1.0,13.98
100,100,4000,1.0,1.5,1.5,0.2,0.4,4,3,10,42,51,6000,3738.8,145.5306,3536,4060,3.8924,20.52,1.0,30.76
100,100,4000,1.0,2.5,0.5,0.2,0.4,4,3,10,42,51,6000,3787.7,128.1866,3579,3960,3.3843,19.55,1.0,27.3
100,100,4000,1.0,0.5,2.5,0.2,0.4,4,3,10,42,51,6000,3686.7,147.8885,3376,3856,4.0114,21.67,1.1,27.38
100,100,6400,0.5,1.5,1.5,0.2,0.4,4,3,10,42,51,6000,962.6,32.9551,898,1014,3.4236,34.48,1.0,7.08
100,100,6400,0.5,2.5,0.5,0.2,0.4,4,3,10,42,51,6000,942.5,48.3182,880,1018,5.1266,35.9,1.0,7.31
100,100,6400,0.5,0.5,2.5,0.2,0.4,4,3,10,42,51,6000,931.1,69.0166,740,999,7.4124,36.56,1.0,7.27
100,100,6400,1.0,1.5,1.5,0.2,0.4,4,3,10,42,51,6000,2277.4,84.846,2114,2414,3.7256,22.55,1.1,16.37
100,100,6400,1.0,2.5,0.5,0.2,0.4,4,3,10,42,51,6000,2282.8,112.6249,2120,2459,4.9336,22.56,1.0,16.59
100,100,6400,1.0,0.5,2.5,0.2,0.4,4,3,10,42,51,6000,2296.9,103.6334,2156,2456,4.5119,21.93,1.0,16.07
100,200,4000,0.5,1.5,1.5,0.2,0.4,4,3,10,42,51,6000,1632.7,39.5147,1579,1697,2.4202,30.55,0.5,24.79
100,200,4000,0.5,2.5,0.5,0.2,0.4,4,3,10,42,51,6000,1630.1,37.9801,1560,1699,2.3299,30.73,0.55,25.61
100,200,4000,0.5,0.5,2.5,0.2,0.4,4,3,10,42,51,6000,1618.4,45.5416,1560,1699,2.814,31.16,0.5,27.16
100,200,4000,1.0,1.5,1.5,0.2,0.4,4,3,10,42,51,6000,3784.3,102.6188,3600,3916,2.7117,19.68,0.5,62.93
100,200,4000,1.0,2.5,0.5,0.2,0.4,4,3,10,42,51,6000,3863.3,80.465,3719,3957,2.0828,18.05,0.5,61.86
100,200,4000,1.0,0.5,2.5,0.2,0.4,4,3,10,42,51,6000,3849.7,121.8705,3658,3998,3.1657,18.26,0.5,63.73
100,200,6400,0.5,1.5,1.5,0.2,0.4,4,3,10,42,51,6000,938.9,43.7549,839,993,4.6602,36.22,0.5,17.26
100,200,6400,0.5,2.5,0.5,0.2,0.4,4,3,10,42,51,6000,942.2,66.1465,799,1020,7.0204,36.03,0.5,15.5
100,200,6400,0.5,0.5,2.5,0.2,0.4,4,3,10,42,51,6000,940.4,51.4338,840,1038,5.4694,36.13,0.5,16.34
100,200,6400,1.0,1.5,1.5,0.2,0.4,4,3,10,42,51,6000,2317.9,81.9237,2199,2439,3.5344,21.35,0.5,37.89
100,200,6400,1.0,2.5,0.5,0.2,0.4,4,3,10,42,51,6000,2357.6,70.4389,2219,2494,2.9877,20.08,0.5,35.11
100,200,6400,1.0,0.5,2.5,0.2,0.4,4,3,10,42,51,6000,2338.1,38.4979,2292,2419,1.6465,20.68,0.55,37.25
100,300,4000,0.5,1.5,1.5,0.2,0.4,4,3,10,42,51,6000,1646.9,72.6257,1519,1739,4.4098,30.28,0.33,35.7
100,300,4000,0.5,2.5,0.5,0.2,0.4,4,3,10,42,51,6000,1675.3,49.2241,1599,1759,2.9382,29.13,0.33,35.83
