folder_name,algorithms,runs_per_point,has_convergence,config_note
01_balanced_low_omega_k0p2_p20_it50_w0p4_a0p34_b0p33_g0p33,"DE,GA,PSO",45 mẫu/điểm,False,balanced_low_omega; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.2; alpha/beta/gamma=0.34/0.33/0.33; candidate=0.4; particle=20; iter=50; inertia=0.5; c1=c2=1.5; omega=0.4
02_balanced_low_omega_k0p2_p30_it50_w0p4_a0p34_b0p33_g0p33,"DE,GA,PSO",45 mẫu/điểm,False,balanced_low_omega; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.2; alpha/beta/gamma=0.34/0.33/0.33; candidate=0.4; particle=30; iter=50; inertia=0.5; c1=c2=1.5; omega=0.4
03_baseline_k0p1_p20_it50_w0p65_a0p6_b0p25_g0p15,"DE,GA,LEACH,PSO",45 mẫu/điểm,False,baseline; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.1; alpha/beta/gamma=0.6/0.25/0.15; candidate=0.4; particle=20; iter=50; inertia=0.7; c1=c2=1.5; omega=0.65
04_baseline_k0p15_p20_it50_w0p65_a0p6_b0p25_g0p15,"DE,GA,LEACH,PSO",45 mẫu/điểm,False,baseline; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.15; alpha/beta/gamma=0.6/0.25/0.15; candidate=0.4; particle=20; iter=50; inertia=0.7; c1=c2=1.5; omega=0.65
05_baseline_k0p2_p20_it50_w0p65_a0p6_b0p25_g0p15,"DE,GA,LEACH,PSO",45 mẫu/điểm,True,baseline; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.2; alpha/beta/gamma=0.6/0.25/0.15; candidate=0.4; particle=20; iter=50; inertia=0.7; c1=c2=1.5; omega=0.65
06_baseline_k0p2_p30_it50_w0p65_a0p6_b0p25_g0p15,"DE,GA,PSO",45 mẫu/điểm,True,baseline; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.2; alpha/beta/gamma=0.6/0.25/0.15; candidate=0.4; particle=30; iter=50; inertia=0.7; c1=c2=1.5; omega=0.65
07_baseline_k0p25_p20_it50_w0p65_a0p6_b0p25_g0p15,"DE,GA,LEACH,PSO",45 mẫu/điểm,False,baseline; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.25; alpha/beta/gamma=0.6/0.25/0.15; candidate=0.4; particle=20; iter=50; inertia=0.7; c1=c2=1.5; omega=0.65
08_distance_focused_k0p2_p20_it50_w0p8_a0p35_b0p45_g0p2,"DE,GA,PSO",45 mẫu/điểm,False,distance_focused; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.2; alpha/beta/gamma=0.35/0.45/0.2; candidate=0.4; particle=20; iter=50; inertia=0.7; c1=c2=1.5; omega=0.8
09_distance_focused_k0p2_p30_it50_w0p8_a0p35_b0p45_g0p2,"DE,GA,PSO",45 mẫu/điểm,False,distance_focused; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.2; alpha/beta/gamma=0.35/0.45/0.2; candidate=0.4; particle=30; iter=50; inertia=0.7; c1=c2=1.5; omega=0.8
10_energy_focused_k0p2_p20_it50_w0p5_a0p75_b0p15_g0p1,"DE,GA,PSO",45 mẫu/điểm,True,energy_focused; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.2; alpha/beta/gamma=0.75/0.15/0.1; candidate=0.4; particle=20; iter=50; inertia=0.7; c1=c2=1.5; omega=0.5
11_energy_focused_k0p2_p30_it50_w0p5_a0p75_b0p15_g0p1,"DE,GA,PSO",45 mẫu/điểm,True,energy_focused; R=200m; packet=6400 bit; E0=0.5J; K_CH=0.2; alpha/beta/gamma=0.75/0.15/0.1; candidate=0.4; particle=30; iter=50; inertia=0.7; c1=c2=1.5; omega=0.5
