topology_id,node_id,x_m,y_m,depth_m,layer
uniform_s100_n20_seed4000,0,45.461138,90.79045,22.341803,2
uniform_s100_n20_seed4000,1,75.301023,21.061655,28.646412,2
uniform_s100_n20_seed4000,2,91.10329,6.668155,80.997244,4
uniform_s100_n20_seed4000,3,44.144683,1.151965,43.382742,2
uniform_s100_n20_seed4000,4,31.255883,80.263996,22.221152,2
uniform_s100_n20_seed4000,5,46.048076,5.819513,49.784596,2
uniform_s100_n20_seed4000,6,46.341809,94.756117,88.801601,4
uniform_s100_n20_seed4000,7,33.144693,52.629353,91.218153,4
uniform_s100_n20_seed4000,8,76.991742,84.385534,95.556605,4
uniform_s100_n20_seed4000,9,44.375354,79.734196,11.813618,1
uniform_s100_n20_seed4000,10,80.17991,88.149331,63.28389,3
uniform_s100_n20_seed4000,11,11.407255,44.154406,59.99176,3
uniform_s100_n20_seed4000,12,43.327192,17.617901,97.017048,4
uniform_s100_n20_seed4000,13,99.389211,24.304429,63.569,3
uniform_s100_n20_seed4000,14,99.131382,56.461089,35.934087,2
uniform_s100_n20_seed4000,15,96.484629,96.325469,93.638915,4
uniform_s100_n20_seed4000,16,16.640544,13.833525,69.630924,3
uniform_s100_n20_seed4000,17,42.445658,45.953914,80.946509,4
uniform_s100_n20_seed4000,18,53.128619,16.471484,24.489536,2
uniform_s100_n20_seed4000,19,2.12874,17.649543,31.923863,2
